"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"28",5,"Tee Higgins",CIN,"WR12","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4","+4.0","63% (7/11)"
"29",5,"Jaxon Smith-Njigba",SEA,"WR13","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4","+1.6","50% (8/16)"
"30",5,"Jalen Hurts",PHI,"QB3","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5","0.0","53% (8/15)"
"31",5,"Omarion Hampton",LAC,"RB13","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2","-","-"
"32",5,"George Kittle",SF,"TE3","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2","+2.9","78% (11/14)"
"33",5,"Jayden Daniels",WAS,"QB4","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3","+2.0","56% (9/16)"
"34",5,"Mike Evans",TB,"WR14","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5","+1.5","46% (6/13)"
"35",5,"James Cook",BUF,"RB14","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-7","+2.1","60% (9/15)"
"36",5,"Davante Adams",LAR,"WR15","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9","+1.3","46% (6/13)"
"37",5,"Marvin Harrison Jr.",ARI,"WR16","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3","-1.6","37% (6/16)"
"38",5,"Tyreek Hill",MIA,"WR17","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-7","-2.1","31% (5/16)"
"39",5,"Kenneth Walker III",SEA,"RB15","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2","+0.2","36% (4/11)"
"40",5,"Garrett Wilson",NYJ,"WR18","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2","+0.1","43% (7/16)"
"41",6,"Breece Hall",NYJ,"RB16","9","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-4","-2.6","26% (4/15)"
"42",6,"Alvin Kamara",NO,"RB17","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4","-0.1","35% (5/14)"
"43",6,"Terry McLaurin",WAS,"WR19","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0","+1.8","75% (12/16)"
"44",6,"Tetairoa McMillan",CAR,"WR20","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+15","-","-"
"45",6,"Xavier Worthy",KC,"WR21","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+13","+0.7","50% (8/16)"
"46",6,"DK Metcalf",PIT,"WR22","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2","-1.7","28% (4/14)"
"47",6,"Jameson Williams",DET,"WR23","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+16","+2.6","60% (9/15)"
"48",6,"Courtland Sutton",DEN,"WR24","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5","+1.1","62% (10/16)"
"49",6,"Chuba Hubbard",CAR,"RB18","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5","+2.1","53% (8/15)"
"50",6,"James Conner",ARI,"RB19","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3","+0.4","62% (10/16)"
"51",6,"TreVeyon Henderson",NE,"RB20","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5","-","-"
"52",6,"DJ Moore",CHI,"WR25","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1","-0.2","31% (5/16)"
"53",6,"Calvin Ridley",TEN,"WR26","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+14","-0.4","37% (6/16)"
"54",6,"Joe Burrow",CIN,"QB5","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-18","+3.9","68% (11/16)"
"55",6,"D'Andre Swift",CHI,"RB21","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5","-1.3","31% (5/16)"
"56",6,"DeVonta Smith",PHI,"WR27","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1","+1.7","53% (7/13)"
"57",7,"George Pickens",DAL,"WR28","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4","-1.2","30% (4/13)"
"58",7,"Jaylen Waddle",MIA,"WR29","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+11","-1.3","21% (3/14)"
"59",7,"RJ Harvey",DEN,"RB22","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-9","-","-"
"60",7,"Tony Pollard",TEN,"RB23","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4","-1.5","40% (6/15)"
"61",7,"Zay Flowers",BAL,"WR30","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3","-1.4","37% (6/16)"
"62",7,"Isiah Pacheco",KC,"RB24","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-5","-3.7","14% (1/7)"
"63",7,"David Montgomery",DET,"RB25","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-9","+1.9","71% (10/14)"
"64",7,"Ricky Pearsall",SF,"WR31","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+16","+1.0","40% (4/10)"
"65",7,"Aaron Jones Sr.",MIN,"RB26","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1","-0.7","43% (7/16)"
"66",7,"Sam LaPorta",DET,"TE4","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-14","+0.3","46% (7/15)"
"67",7,"Travis Hunter",JAC,"WR32","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5","-","-"
"68",7,"Patrick Mahomes II",KC,"QB6","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-19","+0.1","37% (6/16)"
"69",7,"Rome Odunze",CHI,"WR33","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+9","-0.9","25% (4/16)"
"70",7,"T.J. Hockenson",MIN,"TE5","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5","-1.3","33% (3/9)"
"71",7,"Rashee Rice",KC,"WR34","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1","-0.7","75% (3/4)"
"72",7,"Emeka Egbuka",TB,"WR35","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10","-","-"
"73",7,"Tyrone Tracy Jr.",NYG,"RB27","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1","+0.1","50% (8/16)"
"74",7,"Jerry Jeudy",CLE,"WR36","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3","+2.5","68% (11/16)"
"75",7,"Baker Mayfield",TB,"QB7","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-7","+5.0","81% (13/16)"
"76",7,"Kaleb Johnson",PIT,"RB28","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-3","-","-"
"77",8,"Jordan Mason",MIN,"RB29","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+7","-1.6","33% (4/12)"
"78",8,"Jaylen Warren",PIT,"RB30","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1","-1.0","35% (5/14)"
"79",8,"Stefon Diggs",NE,"WR37","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8","+0.2","50% (4/8)"
"80",8,"Chris Olave",NO,"WR38","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4","-3.5","30% (3/10)"
"81",8,"Bo Nix",DEN,"QB8","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-10","+2.0","62% (10/16)"
"82",8,"Deebo Samuel Sr.",WAS,"WR39","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1","-3.9","20% (3/15)"
"83",8,"Travis Kelce",KC,"TE6","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-21","-1.9","37% (6/16)"
"84",8,"J.K. Dobbins",DEN,"RB31","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+14","+1.0","50% (6/12)"
"85",8,"Kyler Murray",ARI,"QB9","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+8","-1.1","50% (8/16)"
"86",8,"Jakobi Meyers",LV,"WR40","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2","+1.1","50% (7/14)"
"87",8,"David Njoku",CLE,"TE7","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1","+1.9","54% (6/11)"
"88",8,"Zach Charbonnet",SEA,"RB32","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+12","+1.0","43% (7/16)"
"89",8,"Mark Andrews",BAL,"TE8","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-14","+1.8","62% (10/16)"
"90",8,"Matthew Golden",GB,"WR41","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1","-","-"
"91",8,"Tyler Warren",IND,"TE9","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3","-","-"
"92",8,"Brock Purdy",SF,"QB10","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3","+0.6","53% (8/15)"
"93",8,"Travis Etienne Jr.",JAC,"RB33","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3","-3.6","14% (2/14)"
"94",8,"Jordan Addison",MIN,"WR42","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2","+3.5","50% (7/14)"
"95",8,"Evan Engram",DEN,"TE10","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-14","-1.8","22% (2/9)"
"96",8,"Dak Prescott",DAL,"QB11","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-5","-1.6","25% (2/8)"
"97",8,"Jauan Jennings",SF,"WR43","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5","+2.4","42% (6/14)"
"98",8,"Tucker Kraft",GB,"TE11","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1","+1.6","56% (9/16)"
"99",9,"Drake Maye",NE,"QB12","14","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+19","+1.4","58% (7/12)"
"100",9,"Michael Pittman Jr.",IND,"WR44","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+21","-1.5","40% (6/15)"
"101",9,"Caleb Williams",CHI,"QB13","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+14","-0.3","43% (7/16)"
"102",9,"Khalil Shakir",BUF,"WR45","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5","-0.2","53% (8/15)"
"103",9,"Justin Herbert",LAC,"QB14","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+6","+0.2","50% (8/16)"
"104",9,"Cam Skattebo",NYG,"RB34","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2","-","-"
"105",9,"Jayden Reed",GB,"WR46","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+8","-0.3","37% (6/16)"
"106",9,"Josh Downs",IND,"WR47","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+17","+1.2","46% (6/13)"
"107",9,"Jacory Croskey-Merritt",WAS,"RB35","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-8","-","-"
"108",9,"Justin Fields",NYJ,"QB15","9","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+4","+0.9","46% (6/13)"
"109",9,"Jordan Love",GB,"QB16","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+21","+0.1","42% (6/14)"
"110",9,"Jared Goff",DET,"QB17","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-7","+4.0","56% (9/16)"
"111",9,"Tank Bigsby",JAC,"RB36","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-3","+0.6","40% (6/15)"
"112",9,"Darnell Mooney",ATL,"WR48","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+36","+0.6","50% (8/16)"
"113",9,"Austin Ekeler",WAS,"RB37","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3","-0.1","54% (6/11)"
"114",9,"Javonte Williams",DAL,"RB38","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4","-2.1","25% (4/16)"
"115",9,"Rhamondre Stevenson",NE,"RB39","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2","-1.1","40% (6/15)"
"116",9,"Cooper Kupp",SEA,"WR49","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-15","-1.1","50% (6/12)"
"117",9,"Braelon Allen",NYJ,"RB40","9","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-6","-1.0","18% (3/16)"
"118",9,"J.J. McCarthy",MIN,"QB18","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+16","-","-"
"119",9,"Colston Loveland",CHI,"TE12","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5","-","-"
"120",9,"Keon Coleman",BUF,"WR50","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9","-0.6","46% (6/13)"
"121",9,"Trevor Lawrence",JAC,"QB19","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+33","-0.8","40% (4/10)"
"122",9,"Trey Benson",ARI,"RB41","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+20","-0.7","28% (4/14)"
"123",9,"Christian Kirk",HOU,"WR51","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+36","-2.1","37% (3/8)"
"124",9,"Dalton Kincaid",BUF,"TE13","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2","-2.4","23% (3/13)"
"125",9,"Nick Chubb",HOU,"RB42","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-6","-2.0","37% (3/8)"
"126",10,"Jake Ferguson",DAL,"TE14","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1","-2.6","30% (4/13)"
"127",10,"Ray Davis",BUF,"RB43","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+26","+1.5","43% (7/16)"
"128",10,"Rashid Shaheed",NO,"WR52","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+10","+2.2","66% (4/6)"
"129",10,"Jayden Higgins",HOU,"WR53","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+12","-","-"
"130",10,"Chris Godwin Jr.",TB,"WR54","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-25","+3.5","57% (4/7)"
"131",10,"Marvin Mims Jr.",DEN,"WR55","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+18","+2.0","50% (8/16)"
"132",10,"Bhayshul Tuten",JAC,"RB44","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+11","-","-"
"133",10,"C.J. Stroud",HOU,"QB20","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5","-3.0","25% (4/16)"
"134",10,"Najee Harris",LAC,"RB45","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-12","-1.1","37% (6/16)"
"135",10,"Rachaad White",TB,"RB46","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+11","+0.7","46% (7/15)"
"136",10,"Dallas Goedert",PHI,"TE15","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0","-0.1","44% (4/9)"
"137",10,"Keenan Allen",LAC,"WR56","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0","+1.4","35% (5/14)"
"138",10,"Brian Robinson Jr.",SF,"RB47","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-42","-0.6","53% (7/13)"
"139",10,"Jaydon Blue",DAL,"RB48","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-7","-","-"
"140",10,"Jerome Ford",CLE,"RB49","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+7","-1.0","42% (6/14)"
"141",10,"Quinshon Judkins",CLE,"RB50","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-37","-","-"
"142",10,"Joe Mixon",HOU,"RB51","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-57","+0.4","46% (6/13)"
"143",10,"Hunter Henry",NE,"TE16","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+12","-0.6","43% (7/16)"
"144",10,"Luther Burden III",CHI,"WR57","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+6","-","-"
"145",10,"Dylan Sampson",CLE,"RB52","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+7","-","-"
"146",10,"Tyler Allgeier",ATL,"RB53","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+18","-0.4","31% (5/16)"
"147",10,"Kyle Pitts Sr.",ATL,"TE17","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-16","-1.1","37% (6/16)"
"148",10,"Tyjae Spears",TEN,"RB54","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+13","+0.6","41% (5/12)"
"149",10,"Rashod Bateman",BAL,"WR58","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+27","+1.7","50% (8/16)"
"150",10,"Geno Smith",LV,"QB21","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+29","-0.8","43% (7/16)"
"151",10,"Brandon Aiyuk",SF,"WR59","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-7","-4.9","14% (1/7)"
"152",10,"Joshua Palmer",BUF,"WR60","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+18","-1.2","26% (4/15)"
"153",10,"Tua Tagovailoa",MIA,"QB22","12","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+9","+1.0","54% (6/11)"
"154",10,"Bryce Young",CAR,"QB23","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+18","+1.5","50% (6/12)"
"155",10,"Cedric Tillman",CLE,"WR61","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+52","+1.0","27% (3/11)"
"156",10,"Zach Ertz",WAS,"TE18","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0","+1.4","56% (9/16)"
"157",10,"DeMario Douglas",NE,"WR62","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+60","-0.6","37% (6/16)"
"158",10,"Rico Dowdle",CAR,"RB55","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+7","0.0","37% (6/16)"
"159",10,"Romeo Doubs",GB,"WR63","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+68","+0.4","38% (5/13)"
"160",10,"Marquise Brown",KC,"WR64","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+7","+1.7","50% (1/2)"
"161",10,"Michael Penix Jr.",ATL,"QB24","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2","-0.9","18% (2/11)"
"162",10,"Wan'Dale Robinson",NYG,"WR65","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+61","-0.3","43% (7/16)"
"163",11,"Xavier Legette",CAR,"WR66","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+52","-1.0","40% (6/15)"
"164",11,"Denver Broncos",DEN,"DST1","12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-40","+1.6","50% (8/16)"
"165",11,"Ollie Gordon II",MIA,"RB56","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-20","-","-"
"166",11,"Will Shipley",PHI,"RB57","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+48","-0.1","11% (1/9)"
"167",11,"Chig Okonkwo",TEN,"TE19","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1","+0.7","43% (7/16)"
"168",11,"Adam Thielen",MIN,"WR67","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2","+3.3","55% (5/9)"
"169",11,"Jonnu Smith",PIT,"TE20","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-34","+3.5","62% (10/16)"
"170",11,"Woody Marks",HOU,"RB58","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+35","-","-"
"171",11,"Blake Corum",LAR,"RB59","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+54","-1.3","31% (5/16)"
"172",11,"Kyle Williams",NE,"WR68","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+16","-","-"
"173",11,"Pittsburgh Steelers",PIT,"DST2","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-34","+0.1","50% (8/16)"
"174",11,"Tre' Harris",LAC,"WR69","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0","-","-"
"175",11,"Roschon Johnson",CHI,"RB60","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+66","+0.3","42% (6/14)"
"176",11,"Philadelphia Eagles",PHI,"DST3","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-49","-0.1","56% (9/16)"
"177",11,"Isaiah Likely",BAL,"TE21","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9","+0.7","46% (7/15)"
"178",11,"Cam Ward",TEN,"QB25","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-21","-","-"
"179",11,"Brenton Strange",JAC,"TE22","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+6","-","-"
"180",11,"Baltimore Ravens",BAL,"DST4","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-29","-1.2","25% (4/16)"
"181",11,"Matthew Stafford",LAR,"QB26","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-8","-1.5","31% (5/16)"
"182",11,"Dont'e Thornton Jr.",LV,"WR70","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+27","-","-"
"183",11,"Minnesota Vikings",MIN,"DST5","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-25","+0.8","50% (8/16)"
"184",11,"Justice Hill",BAL,"RB61","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+48","+1.7","53% (8/15)"
"185",11,"Mike Gesicki",CIN,"TE23","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+21","+0.3","37% (6/16)"
"186",11,"Brandon Aubrey",DAL,"K1","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-66","+3.5","75% (12/16)"
"187",11,"Jaylen Wright",MIA,"RB62","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+3","-0.9","26% (4/15)"
"188",11,"Houston Texans",HOU,"DST6","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-13","+0.1","37% (6/16)"
"189",11,"Isaac Guerendo",SF,"RB63","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5","+1.7","33% (5/15)"
"190",11,"Quentin Johnston",LAC,"WR71","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+80","+0.5","50% (7/14)"
"191",11,"DJ Giddens",IND,"RB64","11","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+38","-","-"
"192",11,"Buffalo Bills",BUF,"DST7","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","+1","-0.3","37% (6/16)"
"193",11,"Cameron Dicker",LAC,"K2","12","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-60","+2.6","68% (11/16)"
"194",12,"Tahj Brooks",CIN,"RB65","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+43","-","-"
"195",12,"Kyle Monangai",CHI,"RB66","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+18","-","-"
"196",12,"Kendre Miller",NO,"RB67","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+43","-1.5","28% (2/7)"
"197",12,"Jake Bates",DET,"K3","8","Coach Upside rating","Coach Bust rating","1 out of 5 stars","-57","+0.9","62% (10/16)"
"198",12,"Alec Pierce",IND,"WR72","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+50","+3.1","53% (8/15)"
