"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"28",3,"Jaxon Smith-Njigba",SEA,"WR12","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5","+1.6","50% (8/16)"
"29",3,"Tee Higgins",CIN,"WR13","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3","+4.0","63% (7/11)"
"30",4,"George Kittle",SF,"TE3","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4","+2.9","78% (11/14)"
"31",4,"Jayden Daniels",WAS,"QB3","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1","+2.0","56% (9/16)"
"32",4,"Mike Evans",TB,"WR14","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+7","+1.5","46% (6/13)"
"33",4,"Garrett Wilson",NYJ,"WR15","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+9","+0.1","43% (7/16)"
"34",4,"James Cook",BUF,"RB13","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-6","+2.1","60% (9/15)"
"35",4,"Tyreek Hill",MIA,"WR16","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4","-2.1","31% (5/16)"
"36",4,"Omarion Hampton",LAC,"RB14","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-7","-","-"
"37",4,"Davante Adams",LAR,"WR17","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8","+1.3","46% (6/13)"
"38",4,"Jalen Hurts",PHI,"QB4","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3","0.0","53% (8/15)"
"39",4,"Terry McLaurin",WAS,"WR18","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4","+1.8","75% (12/16)"
"40",4,"Kenneth Walker III",SEA,"RB15","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1","+0.2","36% (4/11)"
"41",4,"Marvin Harrison Jr.",ARI,"WR19","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-1","-1.6","37% (6/16)"
"42",4,"Alvin Kamara",NO,"RB16","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-4","-0.1","35% (5/14)"
"43",4,"Breece Hall",NYJ,"RB17","9","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-6","-2.6","26% (4/15)"
"44",4,"Courtland Sutton",DEN,"WR20","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9","+1.1","62% (10/16)"
"45",4,"TreVeyon Henderson",NE,"RB18","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1","-","-"
"46",5,"Joe Burrow",CIN,"QB5","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-10","+3.9","68% (11/16)"
"47",5,"DK Metcalf",PIT,"WR21","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1","-1.7","28% (4/14)"
"48",5,"DJ Moore",CHI,"WR22","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3","-0.2","31% (5/16)"
"49",5,"Chuba Hubbard",CAR,"RB19","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5","+2.1","53% (8/15)"
"50",5,"James Conner",ARI,"RB20","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3","+0.4","62% (10/16)"
"51",5,"Tetairoa McMillan",CAR,"WR23","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+8","-","-"
"52",5,"DeVonta Smith",PHI,"WR24","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3","+1.7","53% (7/13)"
"53",5,"Jameson Williams",DET,"WR25","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10","+2.6","60% (9/15)"
"54",5,"Xavier Worthy",KC,"WR26","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+4","+0.7","50% (8/16)"
"55",5,"Calvin Ridley",TEN,"WR27","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+12","-0.4","37% (6/16)"
"56",5,"George Pickens",DAL,"WR28","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5","-1.2","30% (4/13)"
"57",5,"Tony Pollard",TEN,"RB21","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-1","-1.5","40% (6/15)"
"58",5,"Zay Flowers",BAL,"WR29","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+6","-1.4","37% (6/16)"
"59",5,"D'Andre Swift",CHI,"RB22","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1","-1.3","31% (5/16)"
"60",5,"RJ Harvey",DEN,"RB23","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-10","-","-"
"61",5,"Jaylen Waddle",MIA,"WR30","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8","-1.3","21% (3/14)"
"62",5,"David Montgomery",DET,"RB24","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-8","+1.9","71% (10/14)"
"63",5,"Isiah Pacheco",KC,"RB25","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-6","-3.7","14% (1/7)"
"64",5,"Sam LaPorta",DET,"TE4","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-12","+0.3","46% (7/15)"
"65",5,"Aaron Jones Sr.",MIN,"RB26","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+1","-0.7","43% (7/16)"
"66",5,"Patrick Mahomes II",KC,"QB6","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-17","+0.1","37% (6/16)"
"67",5,"Travis Hunter",JAC,"WR31","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5","-","-"
"68",6,"T.J. Hockenson",MIN,"TE5","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-3","-1.3","33% (3/9)"
"69",6,"Chris Olave",NO,"WR32","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+7","-3.5","30% (3/10)"
"70",6,"Baker Mayfield",TB,"QB7","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2","+5.0","81% (13/16)"
"71",6,"Rome Odunze",CHI,"WR33","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+7","-0.9","25% (4/16)"
"72",6,"Tyrone Tracy Jr.",NYG,"RB27","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2","+0.1","50% (8/16)"
"73",6,"Bo Nix",DEN,"QB8","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2","+2.0","62% (10/16)"
"74",6,"Ricky Pearsall",SF,"WR34","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+6","+1.0","40% (4/10)"
"75",6,"Jerry Jeudy",CLE,"WR35","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+2","+2.5","68% (11/16)"
"76",6,"Emeka Egbuka",TB,"WR36","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+6","-","-"
"77",6,"Rashee Rice",KC,"WR37","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-7","-0.7","75% (3/4)"
"78",6,"Kaleb Johnson",PIT,"RB28","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-5","-","-"
"79",6,"Jaylen Warren",PIT,"RB29","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0","-1.0","35% (5/14)"
"80",6,"Travis Kelce",KC,"TE6","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-18","-1.9","37% (6/16)"
"81",6,"Mark Andrews",BAL,"TE7","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-6","+1.8","62% (10/16)"
"82",6,"Stefon Diggs",NE,"WR38","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5","+0.2","50% (4/8)"
"83",6,"Kyler Murray",ARI,"QB9","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+10","-1.1","50% (8/16)"
"84",6,"Dak Prescott",DAL,"QB10","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+7","-1.6","25% (2/8)"
"85",6,"Jordan Mason",MIN,"RB30","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-1","-1.6","33% (4/12)"
"86",6,"Travis Etienne Jr.",JAC,"RB31","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+4","-3.6","14% (2/14)"
"87",6,"Jakobi Meyers",LV,"WR39","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+1","+1.1","50% (7/14)"
"88",6,"David Njoku",CLE,"TE8","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-2","+1.9","54% (6/11)"
"89",6,"Deebo Samuel Sr.",WAS,"WR40","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-6","-3.9","20% (3/15)"
"90",6,"Zach Charbonnet",SEA,"RB32","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10","+1.0","43% (7/16)"
"91",6,"Evan Engram",DEN,"TE9","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-10","-1.8","22% (2/9)"
"92",6,"Jordan Addison",MIN,"WR41","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","0","+3.5","50% (7/14)"
"93",6,"Brock Purdy",SF,"QB11","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2","+0.6","53% (8/15)"
"94",7,"Justin Fields",NYJ,"QB12","9","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+18","+0.9","46% (6/13)"
"95",7,"Matthew Golden",GB,"WR42","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-6","-","-"
"96",7,"Tucker Kraft",GB,"TE10","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1","+1.6","56% (9/16)"
"97",7,"Jauan Jennings",SF,"WR43","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+5","+2.4","42% (6/14)"
"98",7,"Tyler Warren",IND,"TE11","11","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-4","-","-"
"99",7,"Javonte Williams",DAL,"RB33","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+11","-2.1","25% (4/16)"
"100",7,"Drake Maye",NE,"QB13","14","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+18","+1.4","58% (7/12)"
"101",7,"Justin Herbert",LAC,"QB14","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8","+0.2","50% (8/16)"
"102",7,"Khalil Shakir",BUF,"WR44","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5","-0.2","53% (8/15)"
"103",7,"Jacory Croskey-Merritt",WAS,"RB34","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4","-","-"
"104",7,"J.K. Dobbins",DEN,"RB35","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-6","+1.0","50% (6/12)"
"105",7,"Caleb Williams",CHI,"QB15","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+10","-0.3","43% (7/16)"
"106",7,"Josh Downs",IND,"WR45","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+17","+1.2","46% (6/13)"
"107",7,"Jared Goff",DET,"QB16","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-4","+4.0","56% (9/16)"
"108",7,"Jayden Reed",GB,"WR46","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5","-0.3","37% (6/16)"
"109",7,"Michael Pittman Jr.",IND,"WR47","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+12","-1.5","40% (6/15)"
"110",7,"Tank Bigsby",JAC,"RB36","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-2","+0.6","40% (6/15)"
"111",7,"Rhamondre Stevenson",NE,"RB37","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+6","-1.1","40% (6/15)"
"112",7,"Chris Godwin Jr.",TB,"WR48","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-7","+3.5","57% (4/7)"
"113",7,"Austin Ekeler",WAS,"RB38","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+3","-0.1","54% (6/11)"
"114",7,"Cooper Kupp",SEA,"WR49","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-13","-1.1","50% (6/12)"
"115",7,"Jordan Love",GB,"QB17","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+15","+0.1","42% (6/14)"
"116",7,"Trevor Lawrence",JAC,"QB18","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+38","-0.8","40% (4/10)"
"117",7,"Cam Skattebo",NYG,"RB39","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-11","-","-"
"118",7,"Jake Ferguson",DAL,"TE12","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+7","-2.6","30% (4/13)"
"119",7,"C.J. Stroud",HOU,"QB19","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9","-3.0","25% (4/16)"
"120",7,"Braelon Allen",NYJ,"RB40","9","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-9","-1.0","18% (3/16)"
"121",7,"Keon Coleman",BUF,"WR50","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+8","-0.6","46% (6/13)"
"122",7,"J.J. McCarthy",MIN,"QB20","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+12","-","-"
"123",7,"Darnell Mooney",ATL,"WR51","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+25","+0.6","50% (8/16)"
"124",7,"Dalton Kincaid",BUF,"TE13","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+2","-2.4","23% (3/13)"
"125",7,"Dallas Goedert",PHI,"TE14","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+11","-0.1","44% (4/9)"
"126",8,"Colston Loveland",CHI,"TE15","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-12","-","-"
"127",8,"Najee Harris",LAC,"RB41","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-5","-1.1","37% (6/16)"
"128",8,"Rashid Shaheed",NO,"WR52","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+10","+2.2","66% (4/6)"
"129",8,"Rachaad White",TB,"RB42","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+17","+0.7","46% (7/15)"
"130",8,"Christian Kirk",HOU,"WR53","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+29","-2.1","37% (3/8)"
"131",8,"Brian Robinson Jr.",SF,"RB43","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-35","-0.6","53% (7/13)"
"132",8,"Trey Benson",ARI,"RB44","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10","-0.7","28% (4/14)"
"133",8,"Ray Davis",BUF,"RB45","7","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+20","+1.5","43% (7/16)"
"134",8,"Nick Chubb",HOU,"RB46","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-15","-2.0","37% (3/8)"
"135",8,"Brandon Aiyuk",SF,"WR54","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+9","-4.9","14% (1/7)"
"136",8,"Joe Mixon",HOU,"RB47","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-51","+0.4","46% (6/13)"
"137",8,"Marvin Mims Jr.",DEN,"WR55","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+12","+2.0","50% (8/16)"
"138",8,"Kyle Pitts Sr.",ATL,"TE16","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-7","-1.1","37% (6/16)"
"139",8,"Jaydon Blue",DAL,"RB48","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-7","-","-"
"140",8,"Dylan Sampson",CLE,"RB49","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+12","-","-"
"141",8,"Rashod Bateman",BAL,"WR56","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+35","+1.7","50% (8/16)"
"142",8,"Bhayshul Tuten",JAC,"RB50","8","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1","-","-"
"143",8,"Quinshon Judkins",CLE,"RB51","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-39","-","-"
"144",8,"Tua Tagovailoa",MIA,"QB21","12","Coach Upside rating","Coach Bust rating","5 out of 5 stars","+18","+1.0","54% (6/11)"
"145",8,"Jerome Ford",CLE,"RB52","9","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+2","-1.0","42% (6/14)"
"146",8,"Hunter Henry",NE,"TE17","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+9","-0.6","43% (7/16)"
"147",8,"Bryce Young",CAR,"QB22","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+25","+1.5","50% (6/12)"
"148",8,"Tyler Allgeier",ATL,"RB53","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+16","-0.4","31% (5/16)"
"149",8,"Luther Burden III",CHI,"WR57","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+1","-","-"
"150",8,"Cedric Tillman",CLE,"WR58","9","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+57","+1.0","27% (3/11)"
"151",8,"Tyjae Spears",TEN,"RB54","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+10","+0.6","41% (5/12)"
"152",8,"Michael Penix Jr.",ATL,"QB23","5","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+11","-0.9","18% (2/11)"
"153",8,"Keenan Allen",LAC,"WR59","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-16","+1.4","35% (5/14)"
"154",8,"Jayden Higgins",HOU,"WR60","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-13","-","-"
"155",8,"Geno Smith",LV,"QB24","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+24","-0.8","43% (7/16)"
"156",8,"Zach Ertz",WAS,"TE18","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","0","+1.4","56% (9/16)"
"157",8,"Jonnu Smith",PIT,"TE19","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-22","+3.5","62% (10/16)"
"158",8,"Rico Dowdle",CAR,"RB55","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+7","0.0","37% (6/16)"
"159",8,"Romeo Doubs",GB,"WR61","5","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+68","+0.4","38% (5/13)"
"160",8,"Matthew Stafford",LAR,"QB25","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+13","-1.5","31% (5/16)"
"161",8,"Adam Thielen",MIN,"WR62","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+5","+3.3","55% (5/9)"
"162",8,"Marquise Brown",KC,"WR63","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+5","+1.7","50% (1/2)"
"163",8,"DeMario Douglas",NE,"WR64","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+54","-0.6","37% (6/16)"
"164",8,"Joshua Palmer",BUF,"WR65","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+6","-1.2","26% (4/15)"
"165",9,"Ollie Gordon II",MIA,"RB56","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-20","-","-"
"166",9,"Wan'Dale Robinson",NYG,"WR66","14","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+57","-0.3","43% (7/16)"
"167",9,"Kyle Williams",NE,"WR67","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+21","-","-"
"168",9,"Xavier Legette",CAR,"WR68","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+47","-1.0","40% (6/15)"
"169",9,"Brenton Strange",JAC,"TE20","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+16","-","-"
"170",9,"Cam Ward",TEN,"QB26","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-13","-","-"
"171",9,"Tre' Harris",LAC,"WR69","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3","-","-"
"172",9,"Jalen Coker",CAR,"WR70","14","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+61","+1.9","44% (4/9)"
"173",9,"Chig Okonkwo",TEN,"TE21","10","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-5","+0.7","43% (7/16)"
"174",9,"Quentin Johnston",LAC,"WR71","12","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+96","+0.5","50% (7/14)"
"175",9,"Denver Broncos",DEN,"DST1","12","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-51","+1.6","50% (8/16)"
"176",9,"Isaiah Likely",BAL,"TE22","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+10","+0.7","46% (7/15)"
"177",9,"Sam Darnold",SEA,"QB27","8","Coach Upside rating","Coach Bust rating","4 out of 5 stars","0","+2.4","75% (12/16)"
"178",9,"Blake Corum",LAR,"RB57","8","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+47","-1.3","31% (5/16)"
"179",9,"Roschon Johnson",CHI,"RB58","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+62","+0.3","42% (6/14)"
"180",9,"Woody Marks",HOU,"RB59","6","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+25","-","-"
"181",9,"Isaac Guerendo",SF,"RB60","14","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3","+1.7","33% (5/15)"
"182",9,"Philadelphia Eagles",PHI,"DST2","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-55","-0.1","56% (9/16)"
"183",9,"Pittsburgh Steelers",PIT,"DST3","5","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-44","+0.1","50% (8/16)"
"184",9,"Baltimore Ravens",BAL,"DST4","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-33","-1.2","25% (4/16)"
"185",9,"Cade Otton",TB,"TE23","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+6","+0.3","50% (7/14)"
"186",9,"Minnesota Vikings",MIN,"DST5","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-28","+0.8","50% (8/16)"
"187",9,"DeAndre Hopkins",BAL,"WR72","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-16","-1.0","31% (5/16)"
"188",9,"Mike Gesicki",CIN,"TE24","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+18","+0.3","37% (6/16)"
"189",9,"Will Shipley",PHI,"RB61","9","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+25","-0.1","11% (1/9)"
"190",9,"Alec Pierce",IND,"WR73","11","Coach Upside rating","Coach Bust rating","4 out of 5 stars","+58","+3.1","53% (8/15)"
"191",9,"Pat Freiermuth",PIT,"TE25","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+3","+0.9","50% (8/16)"
"192",9,"Jaylen Wright",MIA,"RB62","12","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-2","-0.9","26% (4/15)"
"193",9,"Brandon Aubrey",DAL,"K1","10","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-73","+3.5","75% (12/16)"
"194",9,"Houston Texans",HOU,"DST6","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-19","+0.1","37% (6/16)"
"195",9,"Kyle Monangai",CHI,"RB63","5","Coach Upside rating","Coach Bust rating","3 out of 5 stars","+18","-","-"
"196",9,"Chris Rodriguez Jr.",WAS,"RB64","12","Coach Upside rating","Coach Bust rating","2 out of 5 stars","+53","+2.5","42% (3/7)"
"197",9,"Buffalo Bills",BUF,"DST7","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-4","-0.3","37% (6/16)"
"198",9,"Kansas City Chiefs",KC,"DST8","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-18","-0.8","31% (5/16)"
