Rank,FV,Name,Position,Age,Team,Trend,Variance,ETA
96,50,Yilber Diaz,SP,24.6,ARI,,High,2025
97,50,Moisés Chace,SP,21.8,PHI,↓,High,2025
98,50,Carson Whisenhunt,SP,24.4,SFG,,Med,2025
99,50,Luis Morales,SP,22.5,ATH,,High,2027
100,50,Tai Peete,CF,19.6,SEA,,High,2028
101,50,Jett Williams,CF,21.4,NYM,,High,2026
102,50,Jaison Chourio,CF,19.9,CLE,↑↑,Med,2027
103,50,Luis Mey,SIRP,23.8,CIN,↑↑,High,2025
104,50,Xavier Isaac,1B,21.3,TBR,,High,2026
105,50,Noble Meyer,SP,20.2,MIA,,High,2027
106,50,Jeferson Quero,C,22.5,MIL,,High,2025
107,50,Jonny Farmelo,CF,20.6,SEA,,High,2028
108,50,Travis Sykora,SP,20.9,WSN,,High,2027
109,50,Chayce McDermott,SP,26.6,BAL,,High,2025
110,50,Tink Hence,SP,22.6,STL,,High,2025
111,50,Edgardo Henriquez,SIRP,22.8,LAD,,High,2025
112,50,Ricky Tiedemann,SP,22.6,TOR,,High,2026
113,50,River Ryan,SP,26.6,LAD,,Med,2026
114,50,Alejandro Rosario,SP,23.2,TEX,,High,2026
