PlayerName,Team,Pos,RANK,AVG,The Athletic,Baseball America,Baseball HQ,Baseball Prospectus,CBS Sports,Dynasty Dugout,ESPN,Fangraphs,Fantasy Alarm,Fantasy Six Pack,Fantrax HQ,Just Baseball,MLB Pipeline,NBC Sports,Pitcher List,Prospect361,Prospects Live,Razzball,Rotoballer,Roto- Prospects,Rotowire,The Upside Prospect
"Jobe, Jackson",DET,RHP,16,21.579,Paywall,Paywall,Paywall,4,9,8,Paywall,9,Paywall,Paywall,4,3,5,10,225,10,Paywall,8,17,8,Paywall,15
"Eldridge, Bryce",SF,1B/OF,17,25.000,Paywall,Paywall,Paywall,15,28,16,Paywall,26,Paywall,Paywall,14,30,24,24,60,55,Paywall,13,24,11,Paywall,13
"Wetherholt, JJ",STL,2B/SS,18,25.895,Paywall,Paywall,Paywall,13,14,22,Paywall,63,Paywall,Paywall,22,26,23,22,4,22,Paywall,31,18,29,Paywall,44
"Mayo, Coby",BAL,1B/3B,19,26.579,Paywall,Paywall,Paywall,14,11,14,Paywall,45,Paywall,5,10,33,14,11,225,15,Paywall,20,11,21,Paywall,20
"Rushing, Dalton",LAD,C/OF,20,26.789,Paywall,Paywall,Paywall,22,31,15,Paywall,8,Paywall,Paywall,26,10,30,28,16,34,Paywall,43,23,31,Paywall,30
"Lawlar, Jordan",ARI,3B/SS,21,28.263,Paywall,Paywall,Paywall,29,10,32,Paywall,14,Paywall,3,19,38,11,5,225,13,Paywall,9,15,22,Paywall,11
"Mayer, Marcelo",BOS,SS,22,28.842,Paywall,Paywall,Paywall,25,12,27,Paywall,57,Paywall,6,24,28,12,16,12,28,Paywall,33,40,63,Paywall,37
"Emerson, Colt",SEA,SS,23,29.579,Paywall,Paywall,Paywall,32,17,34,Paywall,41,Paywall,Paywall,20,9,30,21,9,11,Paywall,76,32,32,Paywall,27
"Kurtz, Nick",ATH,1B,24,29.632,Paywall,Paywall,Paywall,33,20,23,Paywall,31,Paywall,Paywall,27,48,38,29,18,24,Paywall,21,25,26,Paywall,23
"Miller, Aidan",PHI,3B/SS,25,30.842,Paywall,Paywall,Paywall,28,42,50,Paywall,15,Paywall,Paywall,32,41,27,18,19,19,Paywall,38,36,30,Paywall,24
"De Paula, Josue",LAD,OF,26,32.000,Paywall,Paywall,Paywall,9,22,37,Paywall,48,Paywall,Paywall,33,21,40,27,61,17,Paywall,46,37,24,Paywall,16
"McGonigle, Kevin",DET,2B/SS,27,35.789,Paywall,Paywall,Paywall,6,27,26,Paywall,54,Paywall,Paywall,30,7,28,36,67,48,Paywall,42,21,34,Paywall,36
"DeLauter, Chase",CLE,OF,28,36.842,Paywall,Paywall,Paywall,62,35,25,Paywall,55,Paywall,Paywall,21,59,36,30,33,52,Paywall,26,9,53,Paywall,38
"Burns, Chase",CIN,RHP,29,39.105,Paywall,Paywall,Paywall,16,29,Paywall,Paywall,28,Paywall,Paywall,43,35,26,23,42,67,Paywall,34,59,54,Paywall,40
"Caglianone, Jac",KC,1B/LHP,30,41.526,Paywall,Paywall,Paywall,34,41,45,Paywall,47,Paywall,Paywall,35,29,22,33,50,53,Paywall,77,41,37,Paywall,28
"Williams, Carson",TB,SS,31,42.368,Paywall,Paywall,Paywall,7,38,21,Paywall,10,Paywall,Paywall,15,16,9,12,5,33,Paywall,29,26,27,Paywall,17
"Rocker, Kumar",TEX,RHP,32,44.684,Paywall,Paywall,Paywall,41,34,30,Paywall,59,Paywall,Paywall,29,46,44,46,225,9,Paywall,23,47,18,Paywall,33
"Condon, Charlie",COL,3B/OF,33,45.684,Paywall,Paywall,Paywall,42,21,44,Paywall,153,Paywall,Paywall,46,61,29,8,41,36,Paywall,78,22,41,Paywall,43
"Smith, Hagen",CHW,LHP,34,46.211,Paywall,Paywall,Paywall,36,33,Paywall,Paywall,22,Paywall,Paywall,53,34,34,56,55,72,Paywall,35,82,42,Paywall,48
"Smith, Cam",HOU,3B,35,50.842,Paywall,Paywall,Paywall,20,45,Paywall,Paywall,70,Paywall,Paywall,57,15,59,52,23,Paywall,Paywall,32,78,35,Paywall,46
"Sproat, Brandon",NYM,RHP,36,51.737,Paywall,Paywall,Paywall,39,39,41,Paywall,24,Paywall,Paywall,50,31,46,54,73,47,Paywall,92,68,44,Paywall,51
"Teel, Kyle",CHW,C,37,54.211,Paywall,Paywall,Paywall,45,44,Paywall,Paywall,49,Paywall,Paywall,38,55,32,32,28,42,Paywall,73,61,52,Paywall,150
"Williams, Jett",NYM,SS/OF,38,54.526,Paywall,Paywall,Paywall,48,37,43,Paywall,62,Paywall,Paywall,68,43,58,67,225,23,Paywall,27,54,28,Paywall,45
"White, Thomas",MIA,LHP,39,55.000,Paywall,Paywall,Paywall,51,47,29,Paywall,83,Paywall,Paywall,48,40,41,59,22,41,Paywall,88,70,45,Paywall,78
"Montes, Lazaro",SEA,OF,40,56.474,Paywall,Paywall,Paywall,53,30,Paywall,Paywall,153,Paywall,Paywall,28,81,42,31,21,Paywall,Paywall,28,42,49,Paywall,42
"Made, Jesus",MIL,3B/SS,41,57.105,Paywall,Paywall,Paywall,35,24,33,Paywall,38,Paywall,Paywall,45,23,56,51,30,Paywall,Paywall,12,20,13,Paywall,34
"Dollander, Chase",COL,RHP,42,58.000,Paywall,Paywall,Paywall,18,48,18,Paywall,12,Paywall,Paywall,54,25,25,50,31,39,Paywall,90,55,Paywall,Paywall,26
"Griffin, Konnor",PIT,SS/OF,43,58.789,Paywall,Paywall,Paywall,86,49,Paywall,Paywall,153,Paywall,Paywall,51,39,43,48,17,91,Paywall,55,28,55,Paywall,35
"Mathews, Quinn",STL,LHP,43,58.789,Paywall,Paywall,Paywall,27,26,28,Paywall,32,Paywall,Paywall,41,32,45,57,65,Paywall,Paywall,86,50,33,Paywall,56
"Hope, Zyhir",LAD,OF,45,59.053,Paywall,Paywall,Paywall,8,36,24,Paywall,153,Paywall,Paywall,59,8,75,41,40,75,Paywall,37,19,20,Paywall,25
"Keaschall, Luke",MIN,2B/SS,46,60.053,Paywall,Paywall,Paywall,44,40,47,Paywall,56,Paywall,Paywall,36,42,61,70,32,64,Paywall,52,52,25,Paywall,29
"Hence, Tink",STL,RHP,47,62.105,Paywall,Paywall,Paywall,38,62,Paywall,Paywall,64,Paywall,Paywall,66,76,77,49,45,21,Paywall,49,74,79,Paywall,55
"Young, Cole",SEA,2B/SS,48,62.947,Paywall,Paywall,Paywall,54,90,Paywall,Paywall,76,Paywall,Paywall,49,69,49,35,25,25,Paywall,53,150,Paywall,Paywall,96
"Montgomery, Braden",CHW,OF,49,64.105,Paywall,Paywall,Paywall,99,68,46,Paywall,153,Paywall,Paywall,42,79,55,90,58,38,Paywall,44,39,43,Paywall,54
"Montgomery, Colson",CHW,SS,50,64.263,Paywall,Paywall,Paywall,43,61,49,Paywall,58,Paywall,Paywall,60,73,39,37,43,71,Paywall,63,100,84,Paywall,49
"Isaac, Xavier",TB,1B/OF,51,65.526,Paywall,Paywall,Paywall,67,46,Paywall,Paywall,98,Paywall,Paywall,40,67,51,79,82,78,Paywall,41,58,47,Paywall,67
"Susana, Jarlin",WAS,RHP,52,67.053,Paywall,Paywall,Paywall,47,58,Paywall,Paywall,19,Paywall,Paywall,87,37,79,73,53,Paywall,Paywall,71,72,64,Paywall,47
"Salas, Ethan",SD,C,53,67.579,Paywall,Paywall,Paywall,40,54,Paywall,Paywall,21,Paywall,Paywall,106,60,33,42,59,62,Paywall,96,150,Paywall,Paywall,58
"Caissie, Owen",CHC,OF,54,68.263,Paywall,Paywall,Paywall,77,50,Paywall,Paywall,153,Paywall,Paywall,58,58,54,61,36,85,Paywall,89,46,40,Paywall,150
"Horton, Cade",CHC,RHP,55,68.684,Paywall,Paywall,Paywall,85,70,Paywall,Paywall,79,Paywall,Paywall,69,45,52,34,57,40,Paywall,59,51,88,Paywall,72
"Moore, Christian",LAA,2B,56,69.053,Paywall,Paywall,Paywall,80,52,35,Paywall,153,Paywall,Paywall,37,92,68,55,102,Paywall,Paywall,30,69,36,Paywall,64
"Lowder, Rhett",CIN,RHP,57,70.895,Paywall,Paywall,Paywall,50,78,Paywall,Paywall,51,Paywall,Paywall,44,57,35,40,225,51,Paywall,39,75,Paywall,Paywall,50
"Rainer, Bryce",DET,SS,58,72.000,Paywall,Paywall,Paywall,56,53,Paywall,Paywall,153,Paywall,Paywall,75,63,53,47,51,76,Paywall,79,73,56,Paywall,150
"Wilson, Jacob",ATH,SS,59,73.737,Paywall,Paywall,Paywall,66,82,40,Paywall,52,Paywall,Paywall,67,54,31,19,225,95,Paywall,57,150,Paywall,Paywall,52
"Chourio, Jaison",CLE,OF,60,73.789,Paywall,Paywall,Paywall,83,74,Paywall,Paywall,153,Paywall,Paywall,55,77,60,38,75,60,Paywall,150,53,39,Paywall,76
"Celesten, Felnin",SEA,SS,61,74.000,Paywall,Paywall,Paywall,151,81,42,Paywall,85,Paywall,Paywall,39,91,74,53,70,59,Paywall,36,30,51,Paywall,62
"Sykora, Travis",WAS,RHP,62,75.684,Paywall,Paywall,Paywall,59,57,31,Paywall,84,Paywall,Paywall,47,71,70,82,85,89,Paywall,70,44,48,Paywall,59
"Misiorowski, Jacob",MIL,RHP,63,76.842,Paywall,Paywall,Paywall,65,79,Paywall,Paywall,27,Paywall,Paywall,85,82,100,76,96,56,Paywall,69,80,62,Paywall,39
"Ballesteros, Moises",CHC,C/1B,64,78.895,Paywall,Paywall,Paywall,73,64,39,Paywall,153,Paywall,Paywall,31,80,69,45,94,32,Paywall,40,63,69,Paywall,82
"Arroyo, Michael",SEA,2B/SS/OF,65,84.368,Paywall,Paywall,Paywall,95,80,48,Paywall,153,Paywall,Paywall,34,150,98,71,81,45,Paywall,150,38,46,Paywall,71
"Rosario, Alejandro",TEX,RHP,66,85.947,Paywall,Paywall,Paywall,72,59,Paywall,Paywall,39,Paywall,Paywall,56,53,50,66,123,Paywall,Paywall,51,45,Paywall,Paywall,84
"Taylor, Brayden",TB,2B/3B/SS,67,90.632,Paywall,Paywall,Paywall,70,67,Paywall,Paywall,153,Paywall,Paywall,84,150,67,60,27,88,Paywall,150,60,71,Paywall,87
"Johnson, Termarr",PIT,2B/SS,68,93.421,Paywall,Paywall,Paywall,151,56,Paywall,Paywall,153,Paywall,Paywall,119,150,83,98,103,58,Paywall,95,150,61,Paywall,68
"Alcantara, Kevin",CHC,OF,69,94.421,Paywall,Paywall,Paywall,151,73,Paywall,Paywall,46,Paywall,Paywall,61,150,90,83,225,70,Paywall,45,57,Paywall,Paywall,65
"Quero, Jeferson",MIL,C,70,95.579,Paywall,Paywall,Paywall,61,150,Paywall,Paywall,99,Paywall,Paywall,78,27,47,77,95,61,Paywall,150,150,Paywall,Paywall,150
"Collier, Cam",CIN,3B,71,95.947,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,83,150,91,150,47,30,Paywall,64,84,38,Paywall,150
"Farmelo, Jonny",SEA,OF,72,96.421,Paywall,Paywall,Paywall,98,66,36,Paywall,100,Paywall,Paywall,64,62,96,150,225,Paywall,Paywall,150,48,90,Paywall,32
"Ramirez, Agustin",MIA,C/1B,73,96.579,Paywall,Paywall,Paywall,55,51,Paywall,Paywall,43,Paywall,Paywall,65,56,150,74,113,74,Paywall,74,56,72,Paywall,81
"Quero, Edgar",CHW,C,74,102.684,Paywall,Paywall,Paywall,76,150,Paywall,Paywall,90,Paywall,Paywall,71,49,66,150,37,73,Paywall,62,150,73,Paywall,150
"Ferris, Jackson",LAD,LHP,75,104.211,Paywall,Paywall,Paywall,52,89,Paywall,Paywall,153,Paywall,Paywall,111,64,71,65,29,Paywall,Paywall,150,92,99,Paywall,150
"Crawford, Justin",PHI,OF,76,104.684,Paywall,Paywall,Paywall,151,76,Paywall,Paywall,153,Paywall,Paywall,62,150,64,39,133,35,Paywall,24,150,94,Paywall,150
"Nimmala, Arjun",TOR,SS,77,104.789,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,82,Paywall,Paywall,105,93,87,150,101,Paywall,Paywall,61,85,Paywall,Paywall,41
"House, Brady",WAS,3B/SS,78,105.947,Paywall,Paywall,Paywall,151,84,Paywall,Paywall,153,Paywall,Paywall,113,150,150,72,108,81,Paywall,150,87,78,Paywall,150
"Dana, Caden",LAA,RHP,79,107.368,Paywall,Paywall,Paywall,151,88,Paywall,Paywall,25,Paywall,Paywall,70,150,78,150,225,43,Paywall,150,97,89,Paywall,75
"Mauricio, Ronny",NYM,2B/SS/OF,80,107.632,Paywall,Paywall,Paywall,151,72,Paywall,Paywall,153,Paywall,Paywall,109,150,150,150,225,94,Paywall,150,67,66,Paywall,69
"Stewart, Sal",CIN,2B/3B,81,108.053,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,81,150,84,69,63,50,Paywall,150,150,60,Paywall,150
"Ford, Harry",SEA,C,82,108.105,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,91,150,65,63,77,27,Paywall,150,95,Paywall,Paywall,150
"Liranzo, Thayron",DET,C/1B,83,109.105,Paywall,Paywall,Paywall,58,83,Paywall,Paywall,44,Paywall,Paywall,74,52,82,150,89,Paywall,Paywall,150,150,Paywall,Paywall,95
"Triantos, James",CHC,2B/3B,84,109.579,Paywall,Paywall,Paywall,151,75,Paywall,Paywall,153,Paywall,Paywall,77,150,73,62,35,Paywall,Paywall,150,98,85,Paywall,150
"Baldwin, Drake",ATL,C,85,112.526,Paywall,Paywall,Paywall,37,65,Paywall,Paywall,11,Paywall,Paywall,102,17,63,150,56,Paywall,Paywall,58,66,74,Paywall,63
"Meyer, Noble",MIA,RHP,86,113.263,Paywall,Paywall,Paywall,92,150,Paywall,Paywall,97,Paywall,Paywall,122,150,85,86,74,54,Paywall,100,150,Paywall,Paywall,98
"Amador, Adael",COL,2B,87,115.316,Paywall,Paywall,Paywall,79,43,Paywall,Paywall,153,Paywall,Paywall,101,89,150,150,225,63,Paywall,150,77,65,Paywall,150
"Carrigg, Cole",COL,C/SS/OF,88,115.579,Paywall,Paywall,Paywall,151,69,Paywall,Paywall,153,Paywall,Paywall,90,150,150,150,24,98,Paywall,150,62,59,Paywall,53
"Martinez, Orelvis",TOR,2B/3B,89,116.684,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,148,150,150,85,225,65,Paywall,47,150,Paywall,Paywall,74
"Freeland, Alex",LAD,SS,90,118.526,Paywall,Paywall,Paywall,82,60,Paywall,Paywall,35,Paywall,Paywall,92,50,72,89,225,Paywall,Paywall,84,150,58,Paywall,150
"Harrington, Thomas",PIT,RHP,91,118.789,Paywall,Paywall,Paywall,81,150,Paywall,Paywall,153,Paywall,Paywall,86,78,80,68,225,Paywall,Paywall,150,150,83,Paywall,150
"Calaz, Robert",COL,OF,92,119.263,Paywall,Paywall,Paywall,49,55,Paywall,Paywall,153,Paywall,Paywall,93,150,150,94,87,Paywall,Paywall,150,29,50,Paywall,77
"Mitchell, Blake",KC,C,93,120.895,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,108,70,48,150,131,79,Paywall,150,150,Paywall,Paywall,150
"Bradfield, Enrique Jr.",BAL,OF,94,124.053,Paywall,Paywall,Paywall,46,85,Paywall,Paywall,153,Paywall,Paywall,158,74,150,150,225,57,Paywall,68,150,Paywall,Paywall,150
"Smith-Shawver, AJ",ATL,RHP,95,125.158,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,40,Paywall,Paywall,96,150,150,150,225,77,Paywall,150,150,Paywall,Paywall,80
"Jones, Spencer",NYY,OF,96,126.895,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,112,150,150,150,78,87,Paywall,150,150,93,Paywall,150
"Gilbert, Drew",NYM,OF,97,127.316,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,141,150,150,96,130,68,Paywall,150,150,Paywall,Paywall,150
"Morales, Emil",LAD,3B/SS,98,128.474,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,79,150,150,84,44,Paywall,Paywall,150,33,Paywall,Paywall,100
"Melton, Jacob",HOU,OF,99,128.632,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,100,150,150,150,225,49,Paywall,150,81,Paywall,Paywall,60
"Veen, Zac",COL,OF,100,130.526,Paywall,Paywall,Paywall,151,99,Paywall,Paywall,153,Paywall,Paywall,155,150,150,150,66,44,Paywall,25,150,92,Paywall,150
"Sasaki, Roki",LAD,RHP,101,131.105,Paywall,Paywall,Paywall,151,1,Paywall,Paywall,1,Paywall,Paywall,2,2,1,150,225,3,Paywall,2,150,9,Paywall,1
"De Los Santos, Deyvison",MIA,1B/3B,102,131.368,Paywall,Paywall,Paywall,151,71,Paywall,Paywall,153,Paywall,Paywall,116,150,150,150,225,Paywall,Paywall,85,90,Paywall,Paywall,150
"Morgan, Tre'",TB,1B/OF,103,133.895,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,86,Paywall,Paywall,88,150,94,150,83,Paywall,Paywall,72,91,Paywall,Paywall,150
"Thomas, Colby",ATH,OF,104,134.000,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,120,150,150,150,52,Paywall,Paywall,150,49,70,Paywall,150
"Lombard, George Jr.",NYY,SS,104,134.000,Paywall,Paywall,Paywall,100,150,Paywall,Paywall,153,Paywall,Paywall,146,150,150,150,225,Paywall,Paywall,150,150,Paywall,Paywall,83
"Tiedemann, Ricky",TOR,LHP,106,134.632,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,102,Paywall,Paywall,94,150,150,150,225,82,Paywall,150,150,Paywall,Paywall,150
"Waldrep, Hurston",ATL,RHP,107,134.842,Paywall,Paywall,Paywall,93,150,Paywall,Paywall,153,Paywall,Paywall,99,150,150,92,225,Paywall,Paywall,150,150,Paywall,Paywall,150
"Snelling, Robby",MIA,LHP,108,135.263,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,128,150,150,150,97,Paywall,Paywall,98,150,Paywall,Paywall,150
"Velazquez, Ralphy",CLE,C/1B/OF,109,137.632,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,118,96,150,150,225,Paywall,Paywall,150,150,100,Paywall,150
"Benge, Carson",NYM,OF,110,137.789,Paywall,Paywall,Paywall,71,150,Paywall,Paywall,153,Paywall,Paywall,127,100,150,150,126,Paywall,Paywall,150,150,Paywall,Paywall,150
"Pratt, Cooper",MIL,SS,111,138.421,Paywall,Paywall,Paywall,63,150,Paywall,Paywall,153,Paywall,Paywall,82,98,57,64,71,Paywall,Paywall,67,150,67,Paywall,57
"Smith, Aidan",TB,OF,112,139.053,Paywall,Paywall,Paywall,151,95,Paywall,Paywall,153,Paywall,Paywall,52,150,150,150,34,97,Paywall,150,43,75,Paywall,31
"Rojas, Jefferson",CHC,2B/SS,113,139.579,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,81,Paywall,Paywall,114,90,97,150,79,Paywall,Paywall,150,150,Paywall,Paywall,150
"Teodo, Emiliano",TEX,RHP,114,140.000,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,125,150,150,97,132,Paywall,Paywall,150,150,82,Paywall,150
"Acuna, Luisangel",NYM,SS,114,140.000,Paywall,Paywall,Paywall,151,92,Paywall,Paywall,153,Paywall,Paywall,117,150,150,150,225,92,Paywall,150,150,Paywall,Paywall,150
"Genao, Angel",CLE,2B/SS,114,140.000,Paywall,Paywall,Paywall,78,150,Paywall,Paywall,33,Paywall,Paywall,63,47,62,58,225,Paywall,Paywall,54,150,57,Paywall,150
"Yorke, Nick",PIT,2B/OF,117,141.316,Paywall,Paywall,Paywall,151,96,Paywall,Paywall,153,Paywall,Paywall,142,150,150,150,225,Paywall,Paywall,150,150,Paywall,Paywall,150
"Arroyo, Edwin",CIN,SS,118,141.579,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,169,150,92,87,225,80,Paywall,150,150,Paywall,Paywall,150
"Hamm, Jaden",DET,RHP,119,142.105,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,110,150,150,150,99,96,Paywall,150,150,Paywall,Paywall,150
"Ryan, River",LAD,RHP,120,142.579,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,101,Paywall,Paywall,175,84,150,150,225,84,Paywall,150,150,Paywall,Paywall,61
"Gillen, Theo",TB,SS/OF,121,142.632,Paywall,Paywall,Paywall,87,150,Paywall,Paywall,153,Paywall,Paywall,139,150,99,150,225,Paywall,Paywall,150,150,Paywall,Paywall,150
"Brito, Juan",CLE,1B/2B/3B/OF,122,143.895,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,78,Paywall,Paywall,137,150,150,150,100,Paywall,Paywall,65,150,Paywall,Paywall,150
"Yesavage, Trey",TOR,RHP,123,144.421,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,115,150,88,150,46,Paywall,Paywall,150,150,Paywall,Paywall,150
"Vargas, Joendry",LAD,SS,124,144.895,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,89,150,150,81,38,Paywall,Paywall,150,34,Paywall,Paywall,97
"Matthews, Brice",HOU,3B/SS,125,145.947,Paywall,Paywall,Paywall,68,150,Paywall,Paywall,153,Paywall,Paywall,189,150,150,99,69,Paywall,Paywall,150,150,Paywall,Paywall,150
"Morales, Luis",ATH,RHP,126,147.105,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,96,Paywall,Paywall,130,72,150,150,147,Paywall,Paywall,66,150,Paywall,Paywall,150
"Troy, Tommy",ARI,2B/SS,127,147.211,Paywall,Paywall,Paywall,96,150,Paywall,Paywall,153,Paywall,Paywall,161,150,150,150,225,Paywall,Paywall,150,150,Paywall,Paywall,150
"Waldschmidt, Ryan",ARI,OF,128,147.737,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,191,150,150,150,114,Paywall,Paywall,150,150,Paywall,Paywall,150
"Suarez, Santiago",TB,RHP,129,149.263,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,164,150,150,150,139,Paywall,Paywall,150,83,Paywall,Paywall,150
"Petty, Chase",CIN,RHP,130,149.947,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,42,Paywall,Paywall,162,68,150,150,225,Paywall,Paywall,150,150,Paywall,Paywall,150
"Gill Hill, Gary",TB,RHP,131,150.316,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,98,150,150,150,225,Paywall,Paywall,150,150,Paywall,Paywall,150
"Black, Tyler",MIL,1B,132,150.947,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,135,95,150,150,225,37,Paywall,150,150,Paywall,Paywall,150
"Simpson, Chandler",TB,OF,133,151.105,Paywall,Paywall,Paywall,151,98,Paywall,Paywall,72,Paywall,Paywall,153,85,150,150,225,Paywall,Paywall,60,150,Paywall,Paywall,150
"King, Seaver",WAS,3B/SS/OF,134,151.158,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,129,150,150,88,138,Paywall,Paywall,150,150,Paywall,Paywall,150
"Tong, Jonah",NYM,RHP,135,151.789,Paywall,Paywall,Paywall,75,87,Paywall,Paywall,153,Paywall,Paywall,97,150,150,150,225,Paywall,Paywall,150,150,97,Paywall,150
"Arias, Franklin",BOS,2B/SS,136,152.368,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,76,150,76,91,225,83,Paywall,50,71,87,Paywall,150
"Leiter, Jack",TEX,RHP,137,152.579,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,171,150,150,80,225,Paywall,Paywall,150,150,Paywall,Paywall,79
"Del Castillo, Adrian",ARI,C,138,153.368,Paywall,Paywall,Paywall,151,91,Paywall,Paywall,30,Paywall,Paywall,150,150,150,150,225,Paywall,Paywall,81,150,Paywall,Paywall,73
"Jones, Druw",ARI,OF,139,153.842,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,204,150,150,75,92,Paywall,Paywall,91,150,Paywall,Paywall,150
"Guerrero, Brailer",TB,OF,140,154.368,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,131,150,150,150,225,Paywall,Paywall,56,76,Paywall,Paywall,150
"Caminiti, Cam",ATL,LHP,141,154.684,Paywall,Paywall,Paywall,151,150,Paywall,Paywall,153,Paywall,Paywall,126,150,89,78,111,Paywall,Paywall,150,150,Paywall,Paywall,150
