"ID","Player","Team","Position","Status","Roster Status","Age","Salary","Contract","Score","Ros","+/-"
"*03d6s*","Matt Chapman","SF","3B","SHS","Active","32","23","2nd","74.6","99%","0%"
"*04eek*","Griffin Canning","NYM","SP","WEQ","Active","29","2","1st","74.55","79%","-1.8%"
"*025dn*","Christian Yelich","MIL","OF","FLA","Active","33","26","2026","74.53","99%","+0.3%"
"*04pqs*","Jake Bird","COL","RP","ROX","Active","29","5","1st","74.26","11%","+2.1%"
"*05u6p*","Brant Hurter","DET","SP,RP","ECH","Active","26","5","1st","74.15","18%","+1.7%"
"*02w7p*","Alex Bregman","BOS","3B","RUM","Active","31","34","1st","74.1","99%","-0.2%"
"*04px8*","Reese Olson","DET","SP","ISO","Inj Res","25","5","2026","73.91","93%","-0.2%"
"*025he*","George Springer","TOR","OF","TWN","Active","35","18","1st","73.64","94%","+0.9%"
"*04ru5*","Andy Pages","LAD","OF","NJ","Active","24","8","2nd","73.59","90%","+1.8%"
"*051bm*","Louie Varland","MIN","SP,RP","RUM","Active","27","5","1st","73.47","26%","+1.9%"
"*041rd*","Corbin Burnes","ARI","SP","LRB","Inj Res","30","41","2025","73.46","93%","-6.6%"
"*05xch*","Junior Caminero","TB","1B,3B","FLA","Active","21","8","2nd","73.36","99%","+0.3%"
"*041ps*","Nick Lodolo","CIN","SP","FLA","Active","27","15","4th","73.25","98%","+0.1%"
"*05u4l*","Daniel Palencia","CHC","RP","SML","Active","25","16","1st","73.19","63%","+2.6%"
"*04mlf*","Casey Mize","DET","SP","MCM","Active","28","3","1st","73.18","91%","-0.3%"
"*02btf*","Mookie Betts","LAD","SS,OF","RUM","Active","32","64","1st","73.09","100%","0%"
"*01fh9*","Bryce Harper","PHI","1B","FLA","Active","32","47","2026","73.09","100%","0%"
"*04t9b*","Michael Busch","CHC","1B","TWN","Active","27","17","1st","73.09","94%","+2.3%"
"*03dfa*","Tanner Scott","LAD","RP","RUM","Active","30","5","2026","72.77","93%","-2.1%"
"*04g1x*","David Peterson","NYM","SP","TSN","Active","29","5","2nd","72.57","92%","+0.8%"
"*04071*","Isaac Paredes","HOU","3B","YRK","Active","26","6","2028","71.84","99%","0%"
"*0326s*","Ketel Marte","ARI","2B","ROX","Active","31","33","2nd","71.76","100%","0%"
"*04nb2*","Riley Greene","DET","OF","KEN","Active","24","15","4th","71.55","99%","0%"
"*01ucb*","Drew Pomeranz","CHC","SP,RP","NJ","Active","36","8","1st","71.54","18%","-2%"
"*06dqb*","Shane Smith","CHW","SP,RP","WEQ","Active","25","5","1st","71.27","68%","+1.4%"
"*01ual*","Paul Goldschmidt","NYY","1B","ECH","Active","37","29","1st","71.22","99%","-0.1%"
"*04tlv*","Bryan Abreu","HOU","RP","RUM","Active","28","1","2026","71.22","59%","+0.3%"
"*04fhb*","Julio Rodriguez","SEA","OF","SHS","Active","24","30","4th","71.14","100%","0%"
"*03120*","Cody Bellinger","NYY","1B,OF","NJ","Active","29","17","2026","70.93","99%","0%"
"*031d4*","Zack Littell","TB","SP","RR","Active","29","12","1st","70.91","83%","+8%"
"*02mwm*","Matt Olson","ATL","1B","LIL","Active","31","45","1st","70.85","100%","0%"
"*05m1e*","Jackson Chourio","MIL","OF","SML","Active","21","10","2nd","70.58","100%","0%"
"*05ucd*","Mason Miller","ATH","RP","NJ","Active","26","21","2028","70.36","98%","-0.1%"
"*06650*","Hayden Birdsong","SF","SP,RP","LIL","Active","23","8","2nd","70.32","76%","+0.5%"
"*05yb8*","Chad Patrick","MIL","SP","MFR","Active","26","5","1st","70.3","57%","+11.7%"
"*0319c*","Mark Leiter Jr.","NYY","RP","NJ","Active","34","5","1st","70.28","23%","-0.1%"
"*03pje*","Taylor Ward","LAA","OF","SHS","Active","31","24","1st","69.96","96%","-0.9%"
"*03dpt*","Reed Garrett","NYM","RP","TSN","Active","32","5","1st","69.93","45%","+3.8%"
"*04pst*","Jarren Duran","BOS","OF","RUM","Active","28","9","2027","69.91","100%","0%"
"*03pjd*","Josh Naylor","ARI","1B","LEX","Active","27","1","2026","69.79","100%","0%"
"*031bl*","Kyle Finnegan","WSH","RP","NJ","Active","33","7","1st","69.75","88%","+0.2%"
"*05ym7*","Fernando Cruz","NYY","RP","NJ","Inj Res","35","1","1st","69.74","42%","+2.6%"
"*03et8*","Ranger Suarez","PHI","SP","WEQ","Active","29","1","2027","69.61","96%","+0.6%"
"*0512m*","Ryan Pepiot","TB","SP","YRK","Active","27","11","2026","69.58","97%","+1.2%"
"*05jp7*","Gavin Williams","CLE","SP","SHS","Active","25","8","3rd","69.4","92%","+1.2%"
"*03ql5*","Ryan Helsley","STL","RP","MCM","Active","30","12","2025","69.36","97%","+0.1%"
"*05t9v*","Jonathan Aranda","TB","1B","WEQ","Active","27","10","1st","69.03","87%","+0.7%"
"*041r1*","Jesus Luzardo","PHI","SP","FLA","Active","27","20","5th","68.97","98%","-0.4%"
"*04aqc*","David Bednar","PIT","RP","FLA","Active","30","13","2025","68.87","65%","+5.3%"
"*03qwa*","Phil Maton","STL","RP","ISO","Active","32","5","1st","68.74","29%","+3.5%"
"*02j77*","Chris Martin","TEX","RP","LEX","Inj Res","39","3","1st","68.59","36%","+2.1%"
"*041vm*","Dylan Lee","ATL","RP","TSN","Active","30","5","1st","68.41","19%","-0.3%"
"*046yd*","Dennis Santana","PIT","RP","TWN","Active","29","15","1st","68.4","39%","-0.9%"
"*05xu5*","Zach Neto","LAA","SS","YRK","Active","24","14","2026","68.34","94%","+0.2%"
"*031ey*","Eric Lauer","TOR","SP,RP","MFR","Active","30","5","1st","68.31","8%","-0.7%"
"*0310c*","Hunter Harvey","KC","RP","MFR","Inj Res","30","5","2025","68.29","20%","-0.6%"
"*04eqa*","Garrett Whitlock","BOS","SP,RP","RUM","Active","28","1","1st","68.19","25%","0%"
"*02xic*","Teoscar Hernandez","LAD","OF","MFR","Active","32","33","1st","68.08","100%","0%"
"*04b01*","Tomoyuki Sugano","BAL","SP","WEQ","Active","35","9","1st","68.06","84%","+1.8%"
"*05143*","Hunter Gaddis","CLE","RP","ISO","Active","27","5","1st","67.94","47%","-0.1%"
"*03pom*","Austin Riley","ATL","3B","KEN","Active","28","30","6th","67.89","100%","0%"
"*03d6p*","Grant Holmes","ATL","SP,RP","LIL","Active","29","7","1st","67.83","80%","-0.2%"
"*045gu*","TJ Friedl","CIN","OF","MFR","Active","29","8","2025","67.71","92%","+0.9%"
"*06luc*","Jack Dreyer","LAD","SP,RP","ISO","Active","26","5","1st","67.71","20%","+0.7%"
"*043ia*","Adrian Morejon","SD","RP","KEN","Active","26","6","1st","67.51","16%","+0.7%"
"*05t64*","Felix Bautista","BAL","RP","LRB","Active","29","6","2028","67.47","94%","+0.4%"
"*04qk8*","CJ Abrams","WSH","SS","RR","Active","24","30","4th","67.35","99%","0%"
"*03dau*","Trevor Megill","MIL","RP","YRK","Active","31","12","2nd","67.3","83%","+2%"
"*04b00*","Brice Turang","MIL","2B","RUM","Active","25","15","2nd","67.06","99%","-0.1%"
"*04etg*","Janson Junk","MIA","RP","LRB","Active","29","5","1st","67.04","7%","+4%"
"*05y23*","Tanner Bibee","CLE","SP","MCM","Active","26","8","3rd","66.94","98%","+0.2%"
"*04y9p*","Anthony Volpe","NYY","SS","RR","Active","24","10","3rd","66.94","98%","-0.3%"
"*03dgq*","Ryan OHearn","BAL","1B,OF","TWN","Active","31","1","2nd","66.89","88%","+0.8%"
"*060x1*","Wilyer Abreu","BOS","OF","ECH","Active","25","10","1st","66.86","95%","-1.3%"
"*042sz*","Will Smith","LAD","C","NJ","Active","30","27","1st","66.74","99%","0%"
"*05y72*","Landen Roupp","SF","SP,RP","TWN","Active","26","10","1st","66.63","68%","+7.5%"
"*02iug*","Michael Wacha","KC","SP","ECH","Active","33","2","2nd","66.55","90%","+2.5%"
"*05ita*","Cristian Mena","ARI","SP","LRB","Active","22","5","1st","66.51","11%","+1.8%"
"*03nuc*","Luis Castillo","SEA","SP","NJ","Active","32","29","2025","66.32","99%","0%"
"*04y97*","Kyle Stowers","MIA","OF","NJ","Active","27","1","1st","66.3","81%","-4%"
"*03qr0*","Cedric Mullins","BAL","OF","ISO","Active","30","16","2026","66.22","94%","-1.2%"
"*03ojr*","Vladimir Guerrero Jr.","TOR","1B","SHS","Active","26","30","6th","66.04","100%","0%"
"*03pit*","Trent Grisham","NYY","OF","MFR","Active","28","5","1st","66.02","71%","-2.1%"
"*041r5*","Dustin May","LAD","SP","ECH","Active","27","3","1st","65.96","86%","+0.4%"
"*05yo5*","Ben Rice","NYY","C,1B","ECH","Active","26","2","1st","65.91","83%","-0.7%"
"*02c47*","Shawn Armstrong","TEX","SP,RP","ECH","Active","34","7","1st","65.73","8%","-0.2%"
"*05u2v*","Hunter Goodman","COL","C,OF","LIL","Active","25","7","1st","65.61","86%","+2.8%"
"*05ycf*","Noah Cameron","KC","SP","MFR","Active","25","5","1st","65.53","72%","+3.4%"
"*04pr1*","Steven Kwan","CLE","OF","MCM","Active","27","20","1st","65.45","99%","0%"
"*03ae8*","Dansby Swanson","CHC","SS","LEX","Active","31","24","1st","65.35","97%","-0.7%"
"*04mlx*","Matthew Liberatore","STL","SP,RP","FLA","Active","25","8","1st","65.31","81%","-2%"
"*05g4k*","Mick Abel","PHI","SP","SML","Minors","23","8","1st","64.97","69%","+9.9%"
"*04y9o*","Jack Leiter","TEX","SP","LEX","Active","25","10","1st","64.97","79%","+2%"
"*04pr8*","Taj Bradley","TB","SP","ROX","Active","24","10","3rd","64.84","97%","+0.9%"
"*02c4q*","Nick Martinez","CIN","SP,RP","SHS","Active","34","10","1st","64.72","77%","-3.8%"
"*05m49*","Jung Hoo Lee","SF","OF","ISO","Active","26","14","1st","64.69","96%","-0.5%"
"*02mwk*","Jose Berrios","TOR","SP","LRB","Active","31","11","1st","64.55","97%","+1.2%"
"*05ge9*","Shota Imanaga","CHC","SP","MFR","Inj Res","31","32","1st","64.54","99%","0%"
"*04ydi*","Ronel Blanco","HOU","SP","ECH","Inj Res","31","15","2nd","64.48","64%","-14.9%"
"*05xsq*","Luis Ortiz","CLE","SP,RP","TWN","Active","26","10","1st","64.47","64%","+6%"
"*02mv0*","Andrew Heaney","PIT","SP","KEN","Active","34","1","2nd","64.44","68%","-3%"
"*01usi*","Marcell Ozuna","ATL","UT","MFR","Active","34","6","2025","64.32","99%","-0.1%"
"*051em*","Kerry Carpenter","DET","OF","ROX","Active","27","5","2026","64.21","96%","-0.2%"
"*05yaz*","Will Warren","NYY","SP","LRB","Active","25","8","1st","64.2","70%","-4.4%"
"*02nax*","Matt Strahm","PHI","RP","TWN","Active","33","1","2nd","63.95","35%","-2.6%"
"*041ma*","Cole Ragans","KC","SP","YRK","Active","27","7","2028","63.87","99%","-0.1%"
"*060pm*","Wyatt Langford","TEX","OF","YRK","Active","23","10","2nd","63.79","99%","-0.1%"
"*04pse*","Brendan Donovan","STL","2B,SS,OF","LRB","Active","28","5","2nd","63.72","98%","0%"
"*03ql8*","Bailey Falter","PIT","SP","ECH","Active","28","7","1st","63.62","52%","+3.4%"
"*03qjy*","Brandon Lowe","TB","2B","SML","Active","30","22","1st","63.62","93%","+0.9%"
"*03de9*","Rhys Hoskins","MIL","1B","LEX","Active","32","3","2025","63.6","86%","-1.6%"
"*04ppz*","Jake Irvin","WSH","SP","ROX","Active","28","1","1st","63.6","80%","-2.2%"
"*04pt2*","Lars Nootbaar","STL","OF","ISO","Active","27","11","2026","63.56","95%","-0.4%"
"*0314j*","Ryan Yarbrough","NYY","SP,RP","YRK","Active","33","6","1st","63.54","54%","+14.8%"
"*02z0e*","Yimi Garcia","TOR","RP","LEX","Inj Res","34","7","1st","63.52","26%","-1.7%"
"*01cgt*","Wilmer Flores","SF","1B","SHS","Active","33","11","1st","63.42","76%","-1.3%"
"*02mxf*","Carson Kelly","CHC","C","RR","Active","30","15","1st","63.09","66%","-0.9%"
"*04pqo*","Braydon Fisher","TOR","SP,RP","ISO","Active","24","5","1st","63.03","4%","-2.3%"
"*03sef*","Seth Lugo","KC","SP","MCM","Active","35","10","2025","63.01","98%","-0.4%"
"*02mzg*","Max Muncy","LAD","3B","SML","Active","34","33","1st","62.94","91%","+8.9%"
"*041qo*","Zac Gallen","ARI","SP","LIL","Active","29","20","1st","62.86","98%","-0.4%"
"*03pov*","Brady Singer","CIN","SP","FLA","Active","28","7","1st","62.76","89%","-1.2%"
"*04enz*","Robert Garcia","TEX","RP","ECH","Active","28","11","1st","62.57","42%","+0.2%"
"*051b4*","Jordan Beck","COL","OF","RUM","Active","24","1","1st","62.49","63%","-4.5%"
"*03df2*","Dylan Cease","SD","SP","KEN","Active","29","39","1st","62.42","99%","-0.1%"
"*040b5*","Randy Arozarena","SEA","OF","LRB","Active","30","37","2026","62.28","97%","-1%"
"*05acp*","Justin Martinez","ARI","RP","LEX","Active","23","5","2nd","62.12","79%","-0.2%"
"*041am*","Lucas Erceg","KC","RP","RUM","Active","30","10","2nd","62.03","74%","-3.7%"
"*04hyc*","Ivan Herrera","STL","C","YRK","Active","25","1","2nd","62","90%","-0.1%"
"*05184*","Vinnie Pasquantino","KC","1B","MCM","Active","27","21","2026","61.86","97%","+0.7%"
"*04nky*","Trevor Larnach","MIN","OF","LEX","Active","28","2","1st","61.83","67%","+4.8%"
"*0425t*","Bailey Ober","MIN","SP","ISO","Active","29","11","2025","61.77","98%","-0.3%"
"*03djb*","Jalen Beeks","ARI","RP","TSN","Active","31","5","1st","61.61","12%","-1.8%"
"*04cwf*","Shane Baz","TB","SP","ECH","Active","25","8","2nd","61.51","94%","-0.3%"
"*03qne*","Chris Paddack","MIN","SP","FLA","Active","29","6","1st","61.51","59%","+8.5%"
"*0423e*","Anthony Bender","MIA","RP","WEQ","Active","30","2","1st","61.4","11%","-0.2%"
"*045qo*","Jazz Chisholm Jr.","NYY","2B,3B,OF","NJ","Active","27","20","5th","61.38","99%","+0.3%"
"*031t0*","Gleyber Torres","DET","2B","ISO","Active","28","7","1st","61.31","97%","-0.1%"
"*05rb1*","Sal Frelick","MIL","3B,OF","TSN","Active","25","8","3rd","61.15","80%","+1.5%"
"*041qb*","Bo Bichette","TOR","SS","TSN","Active","27","25","1st","61.13","99%","+0.1%"
"*04ee7*","Clarke Schmidt","NYY","SP","LIL","Active","29","8","1st","60.81","86%","+2.1%"
"*04o2w*","Ben Brown","CHC","SP","NJ","Active","25","1","1st","60.7","62%","+2.6%"
"*04aeh*","DL Hall","MIL","SP","YRK","Active","26","7","1st","60.64","22%","+0.9%"
"*03qto*","Evan Phillips","LAD","RP","SML","Inj Res","30","6","2025","60.61","20%","-3.7%"
"*04eej*","Gavin Sheets","SD","1B,OF","ROX","Active","29","8","1st","60.59","66%","-1.5%"
"*04mlr*","Jeffrey Springs","ATH","SP","SHS","Active","32","11","1st","60.54","79%","-4.3%"
"*030vs*","Kirby Yates","LAD","RP","SHS","Inj Res","38","5","2nd","60.5","69%","+0.9%"
"*041qs*","Austin Hays","CIN","OF","LIL","Inj Res","29","8","1st","60.49","65%","-3.6%"
"*05lg3*","Brandon Pfaadt","ARI","SP","RR","Active","26","10","3rd","60.47","95%","-2.7%"
"*03pjf*","Mike Soroka","WSH","SP,RP","ROX","Active","27","1","1st","60.3","32%","+2.2%"
"*05a2d*","Max Meyer","MIA","SP","RR","Active","26","10","2nd","59.95","77%","-10%"
"*025kd*","Jose Quintana","MIL","SP","ROX","Inj Res","36","7","1st","59.86","60%","-0.3%"
"*05gwy*","Masyn Winn","STL","SS","MCM","Active","23","8","2nd","59.82","88%","+1.2%"
"*050w9*","Gunnar Henderson","BAL","SS","ROX","Active","23","8","3rd","59.77","100%","0%"
"*01xfr*","Patrick Corbin","TEX","SP","TSN","Active","35","5","1st","59.64","33%","-0.2%"
"*0317q*","Griffin Jax","MIN","RP","ISO","Active","30","6","1st","59.58","60%","-0.7%"
"*04pkr*","Nico Hoerner","CHC","2B","TWN","Active","28","14","2025","59.42","97%","0%"
"*02bzn*","Colin Rea","CHC","SP","ROX","Active","34","5","1st","59.41","46%","-7.5%"
"*03oh0*","Willson Contreras","STL","C,1B","LEX","Active","33","24","2nd","59.16","98%","+0.3%"
"*02mwq*","Zach Eflin","BAL","SP","LEX","Active","31","4","2025","59.16","91%","+0.2%"
"*01cfr*","Carlos Santana","CLE","1B","KEN","Active","39","1","2026","59.15","65%","+0.9%"
"*050c3*","Jasson Dominguez","NYY","OF","SML","Active","22","10","1st","59.09","95%","-0.9%"
"*04emt*","Jake Meyers","HOU","OF","LEX","Active","28","5","1st","59.08","46%","-3.4%"
"*048tn*","Carlos Narvaez","BOS","C","TWN","Active","26","5","1st","58.95","41%","-0.2%"
"*04pxp*","Victor Vodnik","COL","RP","KEN","Active","25","1","1st","58.34","5%","-0.3%"
"*04ali*","Edward Cabrera","MIA","SP","TWN","Active","27","5","1st","58.29","64%","+4.2%"
"*025dq*","Taijuan Walker","PHI","SP","ROX","Active","32","8","1st","58.19","24%","-5.5%"
"*066n3*","Ryan Walker","SF","RP","SHS","Active","29","6","2nd","58.03","74%","-7.5%"
"*03yso*","A.J. Puk","ARI","RP","ROX","Inj Res","30","6","2025","58.02","55%","-0.8%"
"*04mnw*","Ryan Weathers","MIA","SP","LRB","Active","25","6","2nd","57.97","76%","-1.2%"
"*051b2*","Paxton Schultz","TOR","SP,RP","ROX","Minors","27","5","1st","57.94","4%","-0.1%"
"*02yd1*","Jorge Polanco","SEA","1B,2B,3B","LEX","Active","31","1","1st","57.81","73%","-8.2%"
"*06hv8*","Logan Evans","SEA","SP,RP","MCM","Minors","24","7","1st","57.77","29%","-5.9%"
"*05jqy*","Mitchell Parker","WSH","SP","KEN","Active","25","5","1st","57.76","55%","-5.1%"
