Rank,Player ID,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
74,8975,"Hoffman, Jeff",TOR,P,73.48,59,88,,29,,
75,11875,"Caminero, Junior",TB,3B,74.72,52,92,,29,,
76,9876,"Lopez, Pablo",MIN,P,76.38,62,94,,29,,
77,9772,"Scott, Tanner",LAD,P,76.45,59,117,,29,,
78,11595,"Bibee, Tanner",CLE,P,77.45,61,88,,29,,
79,11636,"Miller, Bryce",SEA,P,79.48,54,91,,29,,
80,11159,"Ober, Bailey",MIN,P,80.72,67,98,,29,,
81,8134,"Perez, Salvador",KC,"C, 1B",80.83,62,96,,29,,
82,9649,"Bellinger, Cody",NYY,"1B, OF",82.86,64,103,,29,,
83,9721,"Albies, Ozzie",ATL,2B,83.00,55,109,,29,,
84,11613,"McLain, Matt",CIN,"2B, SS",84.41,73,101,,29,,
85,11305,"Suzuki, Seiya",CHC,OF,86.07,69,110,,29,,
86,8940,"Schwarber, Kyle",PHI,UT,86.52,54,122,,29,,
87,11884,"Imanaga, Shota",CHC,P,88.14,67,112,,29,,
88,10786,"Ryan, Joe",MIN,P,89.00,74,102,,29,,
89,10216,"Greene, Hunter",CIN,P,91.28,69,111,,29,,
90,10480,"Webb, Logan",SF,P,91.69,57,104,,29,,
91,8961,"Nola, Aaron",PHI,P,92.76,74,114,,29,,
92,9958,"Robert Jr., Luis",CWS,OF,93.31,69,119,,29,,
93,11435,"Brown, Hunter",HOU,P,94.48,77,115,,29,,
94,8704,"Fried, Max",NYY,P,95.83,82,109,,29,,
95,7903,"Yelich, Christian",MLW,OF,97.03,66,127,,29,,
96,10866,"Raleigh, Cal",SEA,C,98.10,65,119,,29,,
97,7689,"Trout, Mike",LAA,OF,98.10,67,122,,29,,
98,11940,"Sasaki, Roki",LAD,P,100.55,77,123,,29,,
99,9915,"Peralta, Freddy",MLW,P,100.79,86,125,,29,,
100,8775,"Ray, Robbie",SF,P,101.86,80,124,,29,,
101,11610,"Westburg, Jordan",BAL,"2B, 3B",103.83,89,126,,29,,
102,10770,"Sanchez, Cristopher",PHI,P,104.48,78,131,,29,,
103,9506,"Castillo, Luis",SEA,P,105.03,87,129,,29,,
104,10255,"Naylor, Josh",ARZ,1B,105.52,66,135,,29,,
105,10153,"Reynolds, Bryan",PIT,OF,106.38,90,121,,29,,
106,9599,"Santander, Anthony",TOR,OF,106.76,84,134,,29,,
107,9415,"Bregman, Alex",BOS,3B,107.38,81,129,,29,,
108,8971,"Adames, Willy",SF,SS,110.69,83,143,,29,,
109,8924,"Walker, Christian",HOU,1B,111.31,89,138,,29,,
110,10822,"Greene, Riley",DET,OF,112.10,91,135,,29,,
111,10845,"Langeliers, Shea",ATH,C,112.59,93,140,,29,,
112,10363,"Smith, Will",LAD,C,112.90,90,139,,29,,
113,11864,"Crow-Armstrong, Pete",CHC,OF,113.17,85,139,,29,,
114,10282,"Vientos, Mark",NYM,3B,114.79,75,155,,29,,
115,9820,"Bichette, Bo",TOR,SS,115.38,80,150,,29,,
116,11922,"Crews, Dylan",WAS,OF,115.55,92,138,,29,,
117,9944,"Gallen, Zac",ARZ,P,115.76,94,135,,29,,
118,10477,"Steele, Justin",CHC,P,119.72,98,137,,29,,
119,10224,"Burger, Jake",TEX,"1B, 3B",119.83,101,136,,29,,
120,11800,"Woo, Bryan",SEA,P,120.62,102,145,,29,,
121,10254,"Lowe, Josh",TB,OF,121.52,105,145,,29,,
122,9754,"Alcantara, Sandy",MIA,P,122.31,97,150,,29,,
123,10804,"Megill, Trevor",MLW,P,122.76,92,148,,29,,
124,9683,"Chapman, Matt",SF,3B,123.79,107,149,,29,,
125,8602,"Semien, Marcus",TEX,2B,124.31,95,146,,29,,
126,8942,"Rodon, Carlos",NYY,P,128.45,109,152,,29,,
127,8546,"Gray, Sonny",STL,P,129.31,101,189,,29,,
128,11407,"Suarez, Robert",SD,P,129.59,79,185,,29,,
129,7931,"Jansen, Kenley",LAA,P,130.97,93,153,,29,,
130,10279,"Garcia Jr., Luis",WAS,2B,132.07,96,159,,29,,
131,10671,"Arozarena, Randy",SEA,OF,134.03,116,151,,29,,
132,11415,"Pasquantino, Vinnie",KC,1B,134.10,108,177,,29,,
133,10874,"Kirby, George",SEA,P,134.66,108,163,,29,,
134,9750,"Flaherty, Jack",DET,P,135.52,109,163,,29,,
135,9655,"Happ, Ian",CHC,OF,136.52,121,160,,29,,
136,10355,"Casas, Triston",BOS,1B,137.38,111,162,,29,,
137,9570,"Pivetta, Nick",SD,P,137.69,112,168,,29,,
138,11346,"Tovar, Ezequiel",COL,SS,138.93,121,164,,29,,
139,11075,"O'Hoppe, Logan",LAA,C,142.07,119,180,,29,,
140,11749,"Dominguez, Jasson",NYY,OF,143.24,123,166,,29,,
141,8800,"Realmuto, J.T.",PHI,C,143.55,94,162,,29,,
142,10365,"Edwards, Xavier",MIA,SS,143.79,123,183,,29,,
143,10518,"Romano, Jordan",PHI,P,146.41,128,165,,29,,
144,11325,"Volpe, Anthony",NYY,SS,146.90,116,182,,29,,
145,11590,"Williams, Gavin",CLE,P,147.34,124,173,,29,,
146,11309,"Pena, Jeremy",HOU,SS,148.03,130,190,,29,,
147,9964,"Garcia, Adolis",TEX,OF,148.34,124,184,,29,,
148,11315,"Kwan, Steven",CLE,OF,150.28,114,186,,29,,
149,11182,"Senga, Kodai",NYM,P,150.59,122,180,,29,,
150,8427,"Gausman, Kevin",TOR,P,151.17,134,181,,29,,
151,10438,"Kikuchi, Yusei",LAA,P,154.03,131,176,,29,,
152,8452,"Pressly, Ryan",CHC,P,155.03,126,194,,29,,
153,10634,"Fairbanks, Pete",TB,P,155.66,120,202,,29,,
154,10133,"Gimenez, Andres",TOR,2B,155.93,136,178,,29,,
155,10332,"McClanahan, Shane",TB,P,156.52,93,437,,28,,
156,11599,"Wells, Austin",NYY,C,156.62,135,175,,29,,
157,10569,"Edman, Tommy",LAD,OF,157.59,121,189,,29,,
158,11059,"Pepiot, Ryan",TB,P,158.69,135,192,,29,,
159,9555,"Holmes, Clay",NYM,P,159.07,130,195,,29,,
160,11609,"Cowser, Colton",BAL,OF,163.45,126,206,,29,,
161,10151,"Turang, Brice",MLW,2B,163.66,120,211,,29,,
162,8417,"Bogaerts, Xander",SD,"2B, SS",165.07,144,187,,29,,
163,11666,"Martinez, Justin",ARZ,P,165.17,137,186,,29,,
164,10681,"Bednar, David",PIT,P,166.03,127,220,,29,,
165,10125,"Bohm, Alec",PHI,3B,167.28,142,198,,29,,
166,9432,"Swanson, Dansby",CHC,SS,167.66,143,187,,29,,
167,10446,"Thomas, Lane",CLE,OF,167.93,136,194,,29,,
168,11586,"Pfaadt, Brandon",ARZ,P,168.28,144,204,,29,,
169,9294,"Estevez, Carlos",KC,P,168.93,146,200,,29,,
170,10899,"Winn, Masyn",STL,SS,169.03,126,208,,29,,
171,9765,"Robles, Victor",SEA,OF,169.10,133,217,,29,,
172,8126,"Goldschmidt, Paul",NYY,1B,173.00,153,202,,29,,
173,10792,"Finnegan, Kyle",WAS,P,173.59,159,205,,29,,
174,11086,"Stott, Bryson",PHI,2B,174.14,156,203,,29,,
175,10076,"Ward, Taylor",LAA,OF,176.62,152,193,,29,,
176,11117,"Moreno, Gabriel",ARZ,C,177.17,157,207,,29,,
177,11588,"Bradley, Taj",TB,P,180.62,153,211,,29,,
178,8221,"Castellanos, Nick",PHI,OF,181.79,152,210,,29,,
179,9312,"Lugo, Seth",KC,P,181.86,153,212,,29,,
180,8805,"Suarez, Eugenio",ARZ,3B,182.41,148,223,,29,,
181,9410,"Lopez, Reynaldo",ATL,P,182.97,150,214,,29,,
182,9973,"Gore, MacKenzie",WAS,P,183.72,151,228,,29,,
183,12020,"Arrighetti, Spencer",HOU,P,183.90,153,209,,29,,
184,9639,"Diaz, Yandy",TB,1B,185.62,164,205,,29,,
185,9609,"Rengifo, Luis",LAA,"2B, 3B",189.41,147,223,,29,,
186,8130,"Eovaldi, Nathan",TEX,P,190.10,166,215,,29,,
187,10218,"Paredes, Isaac",HOU,3B,190.97,159,224,,29,,
188,9379,"Eflin, Zach",BAL,P,193.24,170,208,,29,,
189,11080,"Toglia, Michael",COL,1B,193.38,162,239,,29,,
190,11736,"Encarnacion-Strand, Christian",CIN,1B,193.86,170,219,,29,,
191,10235,"Luzardo, Jesus",PHI,P,195.72,170,232,,29,,
192,11350,"Diaz, Alexis",CIN,P,197.21,80,325,,29,,
193,10263,"Ruiz, Keibert",WAS,C,197.41,161,222,,29,,
194,11530,"Carpenter, Kerry",DET,OF,198.52,163,232,,29,,
195,8331,"Soler, Jorge",LAA,OF,201.34,183,219,,29,,
196,11628,"Rafaela, Ceddanne",BOS,"SS, OF",201.41,142,253,,29,,
197,8228,"Profar, Jurickson",ATL,OF,202.31,174,235,,29,,
198,11921,"Shaw, Matt",CHC,3B,202.66,173,244,,29,,
199,8768,"Martin, Chris",TEX,P,203.00,167,275,,29,,
200,8955,"Nimmo, Brandon",NYM,OF,203.76,150,246,,29,,
201,10481,"Arraez, Luis",SD,"1B, 2B",204.62,157,252,,29,,
202,11594,"Olson, Reese",DET,P,205.83,181,229,,29,,
203,7709,"Chapman, Aroldis",BOS,P,206.07,134,328,,29,,
204,10964,"Lodolo, Nick",CIN,P,207.03,172,231,,29,,
205,10331,"Baz, Shane",TB,P,208.48,166,254,,29,,
206,9789,"O'Neill, Tyler",BAL,OF,209.34,171,245,,29,,
207,9764,"Buehler, Walker",BOS,P,209.90,174,264,,29,,
208,8674,"Buxton, Byron",MIN,OF,213.21,181,249,,29,,
209,11387,"Garcia, Maikel",KC,"2B, 3B",213.34,191,252,,29,,
210,10213,"Ramos, Heliot",SF,OF,213.62,191,236,,29,,
211,10807,"Rasmussen, Drew",TB,P,213.90,175,256,,29,,
212,10068,"Lowe, Brandon",TB,2B,214.14,183,250,,29,,
213,9792,"Puk, A.J.",ARZ,P,214.14,170,273,,29,,
214,10302,"Hoerner, Nico",CHC,2B,214.41,181,260,,29,,
215,9977,"Mountcastle, Ryan",BAL,1B,215.34,185,242,,29,,
216,11751,"Holliday, Jackson",BAL,2B,215.93,157,237,,29,,
217,10980,"Jung, Josh",TEX,3B,216.55,181,255,,29,,
218,10248,"India, Jonathan",KC,2B,218.24,182,265,,29,,
219,10220,"Herrera, Ivan",STL,C,219.55,195,254,,29,,
220,10468,"Holmes, Grant",ATL,P,221.28,182,272,,29,,
221,11741,"Neto, Zach",LAA,SS,221.31,160,292,,29,,
222,10072,"Mullins, Cedric",BAL,OF,221.97,174,266,,29,,
223,11897,"Jobe, Jackson",DET,P,223.31,176,281,,29,,
224,9475,"Gurriel Jr., Lourdes",ARZ,OF,224.07,156,274,,29,,
225,11068,"Houck, Tanner",BOS,P,226.52,194,265,,29,,
226,10226,"McCarthy, Jake",ARZ,OF,227.10,167,259,,29,,
227,11556,"Steer, Spencer",CIN,"1B, OF",231.14,142,282,,29,,
228,8656,"Correa, Carlos",MIN,SS,231.62,191,285,,29,,
229,11204,"Mitchell, Garrett",MLW,OF,233.17,210,261,,29,,
230,10937,"Wong, Connor",BOS,C,233.21,190,270,,29,,
231,9921,"Erceg, Lucas",KC,P,235.38,123,338,,29,,
232,8951,"Berrios, Jose",TOR,P,235.72,203,283,,29,,
233,9934,"Cortes, Nestor",MLW,P,236.34,201,273,,29,,
234,9678,"Woodruff, Brandon",MLW,P,239.69,198,292,,29,,
235,9778,"Torres, Gleyber",DET,2B,239.76,209,275,,29,,
236,10344,"Friedl, TJ",CIN,OF,240.00,201,275,,29,,
237,9856,"Castro, Willi",MIN,"2B, 3B, SS, OF",240.17,206,266,,29,,
238,10946,"Jeffers, Ryan",MIN,C,240.17,197,276,,29,,
239,8658,"Story, Trevor",BOS,SS,241.48,196,298,,29,,
240,6837,"Scherzer, Max",TOR,P,242.62,187,314,,29,,
241,11903,"Lee, Jung Hoo",SF,OF,242.62,201,325,,29,,
242,8223,"Arenado, Nolan",STL,3B,246.90,196,323,,29,,
243,11625,"Ortiz, Joey",MLW,3B,247.17,213,287,,29,,
244,11130,"Francis, Bowden",TOR,P,247.28,178,292,,29,,
245,10067,"Springs, Jeffrey",ATH,P,248.45,210,285,,29,,
246,11624,"Gelof, Zack",ATH,2B,250.21,182,345,,29,,
247,9725,"Hoskins, Rhys",MLW,1B,250.52,206,300,,29,,
248,11576,"Wallner, Matt",MIN,OF,250.62,207,299,,29,,
249,10189,"May, Dustin",LAD,P,253.03,225,294,,29,,
250,8666,"Manaea, Sean",NYM,P,253.86,199,305,,29,,
251,10358,"Stephenson, Tyler",CIN,C,253.93,217,291,,29,,
252,8433,"Springer, George",TOR,OF,253.97,214,293,,29,,
253,10851,"Kirk, Alejandro",TOR,C,254.45,205,294,,29,,
254,10319,"Lewis, Royce",MIN,3B,254.93,120,351,,29,,
255,11447,"Blanco, Ronel",HOU,P,256.28,188,315,,29,,
256,10245,"Bart, Joey",PIT,C,256.83,213,300,,29,,
257,10838,"Bleday, JJ",ATH,OF,259.28,226,292,,29,,
258,11071,"Soderstrom, Tyler",ATH,1B,260.21,217,306,,29,,
259,11225,"Nootbaar, Lars",STL,OF,260.41,224,303,,29,,
260,11357,"Donovan, Brendan",STL,"2B, OF",263.93,233,312,,29,,
261,5420,"Verlander, Justin",SF,P,264.31,223,314,,29,,
262,11048,"Busch, Michael",CHC,1B,264.62,223,330,,29,,
263,8691,"Muncy, Max",LAD,3B,264.62,212,364,,29,,
264,8954,"Conforto, Michael",LAD,OF,264.76,238,300,,29,,
265,10296,"Lowe, Nathaniel",WAS,1B,266.03,238,319,,29,,
266,9840,"Suarez, Ranger",PHI,P,267.31,212,316,,29,,
267,10304,"Jones, Nolan",CLE,OF,270.83,228,323,,29,,
268,11947,"Scott II, Victor",STL,OF,271.76,172,345,,29,,
269,10165,"Schmidt, Clarke",NYY,P,272.07,194,361,,29,,
270,11154,"Morel, Christopher",TB,"2B, 3B",272.14,237,308,,29,,
271,11874,"Fitzgerald, Tyler",SF,SS,274.07,228,330,,29,,
272,8808,"Yates, Kirby",LAD,P,274.79,157,399,,29,,
273,8748,"Martinez, Nick",CIN,P,276.48,239,355,,29,,
274,10181,"Peterson, David",NYM,P,277.14,228,313,,29,,
275,10241,"Adell, Jo",LAA,OF,277.52,229,326,,29,,
276,10159,"Mize, Casey",DET,P,277.69,243,333,,29,,
277,10788,"Vaughn, Andrew",CWS,1B,278.76,216,342,,29,,
278,9799,"Keller, Mitch",PIT,P,280.34,210,336,,29,,
279,10143,"Naylor, Bo",CLE,C,281.21,255,344,,29,,
280,11825,"Keith, Colt",DET,2B,282.28,256,348,,29,,
281,10933,"Bubic, Kris",KC,P,283.52,254,326,,29,,
282,11603,"Norby, Connor",MIA,3B,284.69,201,420,,29,,
283,8958,"Severino, Luis",ATH,P,285.28,230,354,,29,,
284,8426,"Wacha, Michael",KC,P,287.00,233,353,,29,,
285,12183,"Rocker, Kumar",TEX,P,287.62,232,337,,29,,
286,10506,"Kelly, Merrill",ARZ,P,291.62,251,349,,29,,
287,10764,"Raley, Luke",SEA,"1B, OF",292.07,232,357,,29,,
288,11421,"Burleson, Alec",STL,OF,293.93,241,369,,29,,
289,11148,"Sugano, Tomoyuki",BAL,P,295.28,274,333,,29,,
290,12195,"Campbell, Kristian",BOS,2B,296.17,244,385,,29,,
291,11227,"Megill, Tylor",NYM,P,296.55,257,352,,29,,
292,10146,"Marsh, Brandon",PHI,OF,296.93,260,336,,29,,
293,9726,"McMahon, Ryan",COL,3B,297.90,267,362,,29,,
294,9087,"Boyd, Matthew",CHC,P,297.93,276,350,,29,,
295,10832,"Meyer, Max",MIA,P,298.28,273,327,,29,,
296,11187,"Soriano, Jose",LAA,P,300.86,260,340,,29,,
297,12035,"Chandler, Bubba",PIT,P,301.52,247,376,,29,,
298,11948,"Anthony, Roman",BOS,OF,302.48,264,347,,29,,
299,10207,"Rodriguez, Grayson",BAL,P,302.55,197,376,,29,,
300,11218,"Jax, Griffin",MIN,P,302.93,210,348,,29,,
301,11846,"Young, Jacob",WAS,OF,303.21,247,343,,29,,
302,12026,"Birdsong, Hayden",SF,P,303.93,223,440,,29,,
303,12331,"Smith, Cam",HOU,3B,304.10,207,372,,29,,
304,9795,"Jansen, Danny",TB,C,304.24,260,441,,29,,
305,11395,"Faucher, Calvin",MIA,P,305.14,204,373,,29,,
306,10766,"Cronenworth, Jake",SD,"1B, 2B",305.48,243,363,,29,,
307,11127,"Foley, Jason",DET,P,306.10,180,418,,29,,
308,10180,"Varsho, Daulton",TOR,OF,312.31,243,404,,29,,
309,10885,"Walker, Jordan",STL,OF,312.48,267,366,,29,,
310,11102,"Bailey, Patrick",SF,C,313.03,276,383,,29,,
311,11753,"Carter, Evan",TEX,OF,315.07,257,379,,29,,
312,8688,"Pederson, Joc",TEX,UT,315.83,272,381,,29,,
313,9763,"Hays, Austin",CIN,OF,316.21,266,375,,29,,
314,10350,"Larnach, Trevor",MIN,OF,316.79,264,375,,29,,
315,11060,"Uceta, Edwin",TB,P,319.62,249,381,,29,,
316,11893,"Jones, Jared",PIT,P,319.76,113,436,,23,,
317,10145,"Singer, Brady",CIN,P,320.48,286,368,,29,,
318,9210,"Clevinger, Mike",CWS,P,321.28,243,429,,29,,
319,11394,"Aranda, Jonathan",TB,1B,321.72,263,384,,29,,
320,11898,"Warren, Will",NYY,P,322.86,284,373,,29,,
321,12127,"Wilson, Jacob",ATH,SS,323.24,258,387,,29,,
322,11327,"Leiter, Jack",TEX,P,323.31,295,366,,29,,
323,9172,"Kepler, Max",PHI,OF,325.38,271,414,,29,,
324,11980,"Hodge, Porter",CHC,P,327.66,204,412,,29,,
325,8879,"Bassitt, Chris",TOR,P,328.24,295,389,,29,,
326,11581,"Frelick, Sal",MLW,OF,329.28,278,409,,29,,
327,10025,"Adam, Jason",SD,P,330.10,177,400,,29,,
328,11848,"Goodman, Hunter",COL,"C, OF",331.10,254,373,,29,,
329,11844,"Schanuel, Nolan",LAA,1B,332.86,290,389,,29,,
330,11118,"Alvarez, Francisco",NYM,C,335.45,206,438,,28,,
331,8632,"Rodriguez, Eduardo",ARZ,P,336.17,269,388,,29,,
332,10203,"Lux, Gavin",CIN,2B,336.90,279,373,,29,,
333,10422,"Lopez, Otto",MIA,2B,337.69,293,388,,29,,
334,11876,"Kerkering, Orion",PHI,P,338.41,294,387,,29,,
335,7886,"Taillon, Jameson",CHC,P,339.62,300,390,,29,,
336,10705,"Heim, Jonah",TEX,C,341.28,265,446,,29,,
337,10327,"Murphy, Sean",ATL,C,343.31,283,424,,28,,
338,10915,"Detmers, Reid",LAA,P,344.55,299,376,,29,,
339,6918,"Morton, Charlie",BAL,P,345.34,314,397,,29,,
340,8962,"Bell, Josh",WAS,1B,345.69,289,404,,29,,
341,9719,"Fedde, Erick",STL,P,345.72,303,408,,29,,
342,8170,"Hendriks, Liam",BOS,P,346.10,239,415,,27,,
343,9791,"Soroka, Michael",WAS,P,347.48,297,435,,29,,
344,10290,"Amaya, Miguel",CHC,C,349.03,271,424,,29,,
345,11411,"Wesneski, Hayden",HOU,P,349.69,310,394,,29,,
346,11754,"Joyce, Ben",LAA,P,352.07,215,429,,28,,
347,8210,"Darvish, Yu",SD,P,352.10,202,446,,23,,
348,10209,"Canning, Griffin",NYM,P,354.93,287,443,,29,,
349,11924,"Povich, Cade",BAL,P,355.00,320,399,,29,,
350,11645,"Hamilton, David",BOS,"2B, SS",355.45,283,430,,28,,
351,10640,"Civale, Aaron",MLW,P,356.00,300,408,,29,,
352,9264,"Candelario, Jeimer",CIN,"1B, 3B",358.00,318,432,,29,,
353,10831,"Torkelson, Spencer",DET,1B,358.83,314,442,,29,,
354,11709,"Abreu, Wilyer",BOS,OF,359.10,308,436,,28,,
355,12014,"Fitts, Richard",BOS,P,359.59,318,420,,29,,
356,11755,"Burke, Sean",CWS,P,359.97,292,411,,29,,
357,11681,"DeLuca, Jonny",TB,OF,360.17,301,405,,28,,
358,12203,"Baldwin, Drake",ATL,C,362.31,296,432,,29,,
359,11911,"Rice, Ben",NYY,1B,362.79,249,416,,26,,
360,10307,"Meadows, Parker",DET,OF,362.79,176,412,,21,,
361,11634,"Roupp, Landen",SF,P,363.17,331,444,,29,,
362,10236,"Sanchez, Jesus",MIA,OF,363.83,304,440,,29,,
363,11786,"Caballero, Jose",TB,"2B, 3B, SS",365.24,259,439,,29,,
364,10325,"Weathers, Ryan",MIA,P,365.48,198,413,,16,,
365,9894,"Estrada, Thairo",COL,2B,368.24,252,395,,15,,
366,11600,"Manzardo, Kyle",CLE,UT,372.59,275,416,,25,,
367,11771,"Kjerstad, Heston",BAL,OF,373.21,306,437,,26,,
368,11682,"Pages, Andy",LAD,OF,373.97,330,434,,29,,
369,10293,"Melendez, MJ",KC,OF,374.52,329,428,,29,,
370,10225,"Fraley, Jake",CIN,OF,377.90,324,447,,27,,
371,7514,"Santana, Carlos",CLE,1B,379.31,311,429,,28,,
372,11774,"Smith-Shawver, AJ",ATL,P,379.48,312,445,,27,,
373,10417,"Vargas, Miguel",CWS,"3B, OF",380.66,336,431,,29,,
374,9742,"Mahle, Tyler",TEX,P,381.31,321,436,,26,,
375,10113,"Berti, Jon",CHC,3B,382.14,311,425,,24,,
376,9860,"Littell, Zack",TB,P,382.24,327,425,,27,,
377,11429,"Brieske, Beau",DET,P,382.41,294,449,,27,,
378,12204,"Durbin, Caleb",MLW,2B,382.45,288,446,,25,,
379,10253,"Miranda, Jose",MIN,3B,383.41,300,433,,26,,
380,11058,"Knack, Landon",LAD,P,384.14,296,379,,20,,
381,11982,"Smith, Cade",CLE,P,386.38,329,438,,27,,
382,9824,"O'Hearn, Ryan",BAL,"1B, OF",386.72,330,442,,27,,
383,10925,"Clement, Ernie",TOR,"3B, SS",387.48,321,439,,27,,
384,10784,"Vesia, Alex",LAD,P,388.28,316,399,,20,,
385,10309,"Smith, Pavin",ARZ,OF,388.83,318,450,,26,,
386,11362,"Bello, Brayan",BOS,P,389.72,285,434,,27,,
387,11572,"Ortiz, Luis L.",CLE,P,392.10,334,432,,27,,
388,11808,"Bido, Osvaldo",ATH,P,393.72,350,441,,27,,
389,10262,"Hayes, Ke'Bryan",PIT,3B,394.38,294,445,,24,,
390,12008,"Slaten, Justin",BOS,P,395.21,322,448,,25,,
391,8670,"Heaney, Andrew",PIT,P,395.62,361,428,,27,,
392,10345,"Myers, Tobias",MLW,P,395.90,276,450,,25,,
393,9470,"Higashioka, Kyle",TEX,C,398.17,304,450,,25,,
