Name,Team,Pos,mlbam,Age,Draft,Highest Level,B/T,Hgt/Wgt,Rank,Avg,Baseball America,Baseball HQ,Baseball Prospectus,CBS Sports,Dynasty Dugout,ESPN,Fangraphs,Fantasy Alarm,Fantasy Six Pack,Imaginary Brick Wall,Just Baseball,MLB Pipeline,NBC Sports,Prospect 361,Prospects Live,Razzball,Roto- Baller,Roto- Prospects,Rotowire,The Athletic,TJStats
"Bazzana, Travis",CLE,2B,683953,23.5,2024 #1,AAA,L/R,"6'0"" 199",29,35.00,Paywall,Paywall,24,36,25,23,54,17,Paywall,27,46,20,30,73,39,37,30,30,Paywall,50,47
"Willits, Eli",WAS,SS,816113,18.2,2025 #1,A,S/R,"6'1"" 180",30,35.62,Paywall,Paywall,17,23,39,41,15,15,Paywall,Paywall,22,13,17,66,20,60,42,41,Paywall,53,60
"Tong, Jonah",NYM,P,804636,22.7,2022 #209,MLB,R/R,"6'1"" 180",31,37.00,Paywall,Paywall,23,38,37,31,58,46,Paywall,26,30,48,60,26,50,15,25,19,Paywall,72,39
"Waldschmidt, Ryan",ARI,OF,814439,23.4,2024 #31,AA,R/R,"6'2"" 205",32,39.19,Paywall,Paywall,39,31,33,63,35,66,Paywall,29,44,59,37,46,36,61,32,31,Paywall,34,42
"Briceno, Josue",DET,C,800522,21.4,2022 FA,AA,L/R,"6'4"" 200",33,39.33,Paywall,Paywall,53,29,44,44,63,33,Paywall,35,37,40,29,22,31,40,21,55,Paywall,59,22
"Florentino, Edward",PIT,OF,821273,19.3,2024 FA,A,L/R,"6'4"" 200",34,39.38,Paywall,Paywall,21,30,24,78,101,81,Paywall,18,31,50,53,96,37,39,15,22,Paywall,42,18
"Sloan, Ryan",SEA,P,815549,20.1,2024 #55,A+,R/R,"6'5"" 220",35,41.38,Paywall,Paywall,32,53,41,24,20,44,Paywall,Paywall,29,33,52,52,26,71,66,52,Paywall,21,27
"Snelling, Robby",MIA,P,702281,22.2,2022 #39,AAA,R/L,"6'3"" 210",36,43.57,Paywall,Paywall,57,37,34,47,80,51,Paywall,Paywall,25,39,63,35,35,26,45,33,Paywall,63,24
"Doyle, Liam",STL,P,824604,21.7,2025 #5,AA,R/L,"6'2"" 220",37,47.67,Paywall,Paywall,31,41,48,50,19,36,Paywall,Paywall,70,34,64,33,32,50,91,70,Paywall,26,57
"Williams, Jett",MIL,SS,702518,22.3,2022 #14,AAA,R/R,"5'7"" 175",38,47.81,Paywall,Paywall,41,64,Paywall,32,75,30,Paywall,Paywall,45,51,36,29,46,45,56,24,Paywall,45,46
"Gonzalez, Josuar",SF,SS,829034,18.3,2025 FA,R,S/R,"6'0"" 167",39,49.38,Paywall,Paywall,20,56,36,30,44,82,Paywall,Paywall,58,44,68,69,30,54,48,53,Paywall,38,32
"Hernandez, Seth",PIT,P,815825,19.6,2025 #6,,R/R,"6'4"" 190",40,49.52,Paywall,Paywall,68,39,Paywall,49,45,27,Paywall,Paywall,49,29,40,34,38,76,43,59,Paywall,100,40
"Ballesteros, Moises",CHC,C,694208,22.3,2021 FA,MLB,L/R,"5'8"" 195",41,51.52,Paywall,Paywall,80,33,Paywall,51,84,53,Paywall,Paywall,55,55,35,25,55,22,57,37,Paywall,47,49
"Duno, Alfredo",CIN,C,806957,20.1,2023 FA,A,R/R,"6'2"" 210",42,52.62,Paywall,Paywall,63,75,Paywall,29,22,48,Paywall,38,42,38,41,56,42,34,60,45,Paywall,80,21
"Arias, Franklin",BOS,SS,808265,20.3,2023 FA,AA,R/R,"5'11"" 170",43,52.86,Paywall,Paywall,25,85,Paywall,36,14,24,Paywall,Paywall,39,31,51,14,53,24,71,72,Paywall,12,64
"Lombard, George Jr.",NYY,SS,806146,20.7,2023 #26,AA,R/R,"6'2"" 190",44,53.90,Paywall,Paywall,42,55,Paywall,20,49,25,Paywall,Paywall,53,32,67,37,40,150,98,60,Paywall,24,37
"DeLauter, Chase",CLE,OF,800050,24.4,2022 #16,MLB,L/L,"6'3"" 235",45,53.95,Paywall,Paywall,94,59,Paywall,43,26,58,Paywall,Paywall,20,46,42,86,44,17,31,78,Paywall,81,53
"Sirota, Mike",LAD,OF,701527,22.7,2024 #87,A+,R/R,"6'2"" 188",46,56.33,Paywall,Paywall,34,44,49,55,165,64,Paywall,Paywall,34,60,58,97,54,63,24,47,Paywall,51,52
"Bonemer, Caleb",CHW,SS,815352,20.4,2024 #43,A+,R/R,"6'1"" 195",47,56.71,Paywall,Paywall,26,35,26,34,33,73,Paywall,40,47,61,55,Paywall,28,77,61,49,Paywall,44,29
"Early, Connelly",BOS,P,813349,23.9,2023 #151,MLB,L/L,"6'3"" 195",48,57.24,Paywall,Paywall,43,81,Paywall,48,38,150,Paywall,Paywall,23,56,150,55,41,49,62,34,Paywall,64,23
"Montes, Lazaro",SEA,OF,703155,21.3,2022 FA,AA,L/R,"6'5"" 210",49,57.29,Paywall,Paywall,97,47,38,108,66,29,Paywall,Paywall,77,43,20,45,97,44,41,44,Paywall,71,84
"Holliday, Ethan",COL,SS,815787,19.0,2025 #4,A,L/R,"6'4"" 210",50,58.14,Paywall,Paywall,150,54,Paywall,66,47,19,Paywall,Paywall,60,24,10,19,69,56,85,51,Paywall,39,85
"Parker, JoJo",TOR,SS,828098,19.5,2025 #8,,L/R,"6'2"" 200",51,60.24,Paywall,Paywall,49,50,42,52,165,43,Paywall,Paywall,61,45,66,51,43,62,40,69,Paywall,60,73
"Beavers, Dylan",BAL,OF,687637,24.5,2022 #33,MLB,L/R,"6'5"" 206",52,62.10,Paywall,Paywall,62,61,Paywall,57,39,83,Paywall,Paywall,33,69,62,Paywall,51,150,17,26,Paywall,106,43
"Williams, Carson",TB,SS,700246,22.7,2021 #28,MLB,R/R,"6'2"" 180",53,63.19,Paywall,Paywall,45,150,Paywall,39,28,50,Paywall,Paywall,68,63,75,50,62,70,63,50,Paywall,54,65
"Culpepper, Kaelen",MIN,SS,701785,23.1,2024 #21,AA,R/R,"6'0"" 185",54,64.00,Paywall,Paywall,71,63,Paywall,79,97,52,Paywall,Paywall,84,52,54,30,48,48,51,46,Paywall,82,150
"Arquette, Aiva",MIA,SS,804109,22.3,2025 #7,A+,R/R,"6'5"" 220",55,64.19,Paywall,Paywall,50,52,Paywall,123,87,41,Paywall,Paywall,51,47,32,67,60,79,87,68,Paywall,32,50
"Montgomery, Braden",CHW,OF,695731,22.9,2024 #12,AA,S/R,"6'2"" 220",56,64.33,Paywall,Paywall,99,69,47,189,100,35,Paywall,Paywall,62,36,39,49,99,57,54,42,Paywall,30,66
"Caissie, Owen",MIA,OF,683357,23.6,2020 #45,MLB,L/R,"6'3"" 190",57,69.19,Paywall,Paywall,91,34,Paywall,77,62,47,Paywall,Paywall,48,42,33,Paywall,81,35,55,32,Paywall,168,83
"Susana, Jarlin",WAS,P,703186,21.9,2022 FA,AA,R/R,"6'6"" 235",58,69.86,Paywall,Paywall,47,49,Paywall,74,29,87,Paywall,Paywall,54,80,72,Paywall,71,59,79,66,Paywall,168,69
"Jump, Gage",ATH,P,695611,22.9,2024 #73,AA,L/L,"6'0"" 200",59,70.52,Paywall,Paywall,37,82,Paywall,42,81,60,Paywall,Paywall,52,57,81,48,34,150,107,150,Paywall,37,26
"Arroyo, Michael",SEA,SS,703197,21.3,2022 FA,AA,R/R,"5'10"" 160",60,72.10,Paywall,Paywall,35,72,50,62,78,63,Paywall,Paywall,150,67,43,82,100,87,34,86,Paywall,49,44
"Rodriguez, Emmanuel",MIN,OF,691181,23.0,2019 FA,AAA,L/L,"5'11"" 210",61,72.19,Paywall,Paywall,48,46,Paywall,97,165,69,Paywall,Paywall,50,74,44,83,150,99,53,64,Paywall,57,54
"Crawford, Justin",PHI,OF,702222,22.1,2022 #17,AAA,L/R,"6'2"" 188",62,76.10,Paywall,Paywall,98,48,Paywall,69,165,54,Paywall,31,79,53,25,38,150,12,49,98,Paywall,48,150
"Baez, Joshua",STL,OF,695491,22.7,2021 #54,AA,R/R,"6'3"" 220",63,77.38,Paywall,Paywall,84,17,31,93,165,150,Paywall,30,150,87,150,61,59,78,36,17,Paywall,168,41
"Wiggins, Jaxon",CHC,P,694393,24.4,2023 #68,AAA,R/R,"6'6"" 225",64,78.33,Paywall,Paywall,67,78,40,83,72,67,Paywall,Paywall,59,58,93,Paywall,67,65,100,83,Paywall,168,71
"Schultz, Noah",CHW,P,702273,22.5,2022 #26,AAA,L/L,"6'10"" 240",65,79.76,Paywall,Paywall,100,57,Paywall,96,36,40,Paywall,Paywall,65,49,59,74,79,83,102,81,Paywall,95,79
"Nimmala, Arjun",TOR,SS,805796,20.3,2023 #20,A+,R/R,"6'1"" 190",66,81.52,Paywall,Paywall,87,150,Paywall,76,48,68,Paywall,Paywall,95,77,91,39,61,89,96,65,Paywall,89,86
"Arnold, Jamie",ATH,P,701364,21.9,2025 #11,,L/L,"6'1"" 188",67,81.86,Paywall,Paywall,58,43,Paywall,60,165,38,Paywall,Paywall,150,41,79,Paywall,45,94,95,76,Paywall,43,77
"Sykora, Travis",WAS,P,805809,21.8,2023 #71,AA,R/R,"6'6"" 232",68,82.10,Paywall,Paywall,90,65,Paywall,58,109,49,Paywall,Paywall,67,54,49,64,77,95,52,150,Paywall,168,100
"Caminiti, Cam",ATL,P,807284,19.5,2024 #24,A,L/L,"6'2"" 195",69,83.33,Paywall,Paywall,150,70,Paywall,53,165,72,Paywall,Paywall,98,68,74,Paywall,47,88,74,85,Paywall,35,96
"Velazquez, Ralphy",CLE,1B,806252,20.7,2023 #23,AA,L/R,"6'3"" 240",70,85.29,Paywall,Paywall,150,67,45,33,40,150,Paywall,Paywall,57,89,150,Paywall,88,42,109,43,Paywall,106,48
"Hopkins, Brody",TB,P,811315,24.1,2023 #187,AA,R/R,"6'4"" 200",71,87.24,Paywall,Paywall,72,76,28,86,59,150,Paywall,Paywall,38,85,150,Paywall,49,150,187,54,Paywall,83,68
"Morales, Emil",LAD,SS,815896,19.4,2024 FA,A,R/R,"6'3"" 191",72,88.19,Paywall,Paywall,56,84,Paywall,65,61,100,Paywall,33,150,92,65,Paywall,64,38,38,150,Paywall,65,150
"Witherspoon, Kyson",BOS,P,804817,21.5,2025 #15,,R/R,"6'2"" 206",73,89.33,Paywall,Paywall,74,79,Paywall,67,96,89,Paywall,Paywall,150,84,150,75,65,75,88,87,Paywall,62,78
"Sproat, Brandon",MIL,P,687075,25.4,2023 #56,MLB,R/R,"6'3"" 215",74,89.38,Paywall,Paywall,76,93,Paywall,73,37,150,Paywall,Paywall,71,100,150,43,70,74,117,57,Paywall,75,89
"Kilby, Dax",NYY,SS,828076,19.3,2025 #39,A,L/R,"6'2"" 190",75,89.62,Paywall,Paywall,40,51,43,113,69,150,Paywall,Paywall,76,94,150,Paywall,57,72,75,62,Paywall,106,74
"Gillen, Theo",TB,OF,815394,20.4,2024 #18,A,L/R,"6'2"" 195",76,90.81,Paywall,Paywall,81,150,Paywall,92,165,65,Paywall,Paywall,75,76,46,40,66,150,90,150,Paywall,67,72
"Genao, Angel",CLE,3B,694197,21.8,2021 FA,AA,S/R,"5'9"" 150",77,91.81,Paywall,Paywall,55,150,Paywall,80,42,59,Paywall,Paywall,72,66,57,57,80,92,187,73,Paywall,31,150
"Condon, Charlie",COL,OF,809707,22.9,2024 #3,AA,R/R,"6'6"" 216",78,92.95,Paywall,Paywall,150,74,Paywall,300,67,61,Paywall,Paywall,94,70,26,60,150,82,50,96,Paywall,46,150
"Ewing, A.J.",NYM,SS,805999,21.5,2023 #134,AA,L/R,"5'11"" 160",79,94.29,Paywall,Paywall,38,62,Paywall,28,165,150,Paywall,Paywall,43,97,150,71,150,46,99,80,Paywall,98,98
"Farmelo, Jonny",SEA,OF,806071,21.4,2023 #29,A+,L/R,"6'2"" 205",80,95.76,Paywall,Paywall,150,150,Paywall,119,51,75,Paywall,Paywall,73,78,56,92,150,150,68,93,Paywall,90,150
"Lagrange, Carlos",NYY,P,801739,22.7,2022 FA,AA,R/R,"6'7"" 248",81,96.05,Paywall,Paywall,61,90,Paywall,159,73,74,Paywall,Paywall,64,79,150,100,72,66,187,74,Paywall,88,70
"Ford, Harry",WAS,C,695670,23.0,2021 #12,MLB,R/R,"5'10"" 200",82,96.52,Paywall,Paywall,150,66,Paywall,82,74,42,Paywall,Paywall,74,71,48,42,150,52,106,150,Paywall,168,82
"Rodriguez-Cruz, Elmer",NYY,P,695684,22.5,2021 #105,AAA,L/R,"6'3"" 160",83,98.38,Paywall,Paywall,60,80,Paywall,87,53,97,Paywall,Paywall,150,82,87,62,68,67,110,48,Paywall,168,150
"Pratt, Cooper",MIL,SS,806198,21.5,2023 #182,AA,R/R,"6'3"" 206",84,101.29,Paywall,Paywall,150,150,Paywall,70,165,56,Paywall,Paywall,150,64,150,58,56,150,187,67,Paywall,99,63
"Mack, Joe",MIA,C,691788,23.2,2021 #31,AAA,L/R,"6'0"" 210",85,101.76,Paywall,Paywall,92,150,Paywall,61,56,70,Paywall,Paywall,36,62,150,Paywall,58,90,187,150,Paywall,52,51
"Tait, Eduardo",MIN,C,806953,19.5,2023 FA,A+,L/R,"6'0"" 175",86,102.24,Paywall,Paywall,54,150,Paywall,38,46,57,Paywall,Paywall,56,65,83,76,73,150,97,150,Paywall,93,93
"Reimer, Jacob",NYM,3B,702544,22.0,2022 #119,AA,R/R,"6'0"" 205",87,105.05,Paywall,Paywall,70,73,Paywall,138,85,150,Paywall,Paywall,93,150,150,Paywall,150,150,72,92,Paywall,168,45
"Smith, Hagen",CHW,P,696146,22.5,2024 #5,AA,L/L,"6'3"" 235",88,106.29,Paywall,Paywall,101,86,Paywall,127,65,88,Paywall,Paywall,150,72,89,Paywall,90,150,112,82,Paywall,58,150
"Bremner, Tyler",LAA,P,803285,21.8,2025 #2,,R/R,"6'2"" 190",89,109.14,Paywall,Paywall,79,94,Paywall,56,52,91,Paywall,Paywall,150,81,69,Paywall,78,100,187,88,Paywall,168,150
"Hall, Steele",CIN,SS,829162,18.6,2025 #9,,R/R,"6'0"" 180",90,115.05,Paywall,Paywall,150,150,Paywall,126,165,79,Paywall,Paywall,150,83,86,Paywall,92,68,111,61,Paywall,168,150
"Clifford, Ryan",NYM,1B,691775,22.6,2022 #343,AAA,L/L,"6'3"" 200",91,115.19,Paywall,Paywall,86,77,Paywall,106,165,150,Paywall,Paywall,81,150,150,Paywall,150,150,114,63,Paywall,168,150
"Scarborough, Caden",TEX,P,807291,20.9,2023 #171,A+,R/R,"6'5"" 185",92,116.90,Paywall,Paywall,150,150,Paywall,99,71,150,Paywall,Paywall,78,150,150,Paywall,63,150,104,100,Paywall,106,56
"Ritchie, J.R.",ATL,P,702275,22.7,2022 #35,AAA,R/R,"6'2"" 185",93,117.05,Paywall,Paywall,88,71,Paywall,89,68,86,Paywall,Paywall,83,90,77,84,150,150,187,91,Paywall,106,150
"Lewis, Tyson",CIN,SS,815653,20.1,2024 #51,A,L/R,"6'2"" 195",94,118.19,Paywall,Paywall,66,89,Paywall,170,165,76,Paywall,Paywall,150,150,150,Paywall,150,150,83,150,Paywall,68,150
"Fien, Gavin",WAS,SS,815818,19.0,2025 #12,A,R/R,"6'3"" 200",95,118.90,Paywall,Paywall,59,150,Paywall,117,165,150,Paywall,Paywall,150,150,88,Paywall,83,150,105,150,Paywall,76,150
"Messick, Parker",CLE,P,800048,25.3,2022 #54,MLB,L/L,"6'0"" 225",96,119.24,Paywall,Paywall,83,87,Paywall,45,82,150,Paywall,Paywall,150,95,150,Paywall,82,150,187,150,Paywall,92,150
"George, Nate",BAL,OF,825582,19.7,2024 #489,A+,R/R,"6'0"" 200",97,120.43,Paywall,Paywall,64,150,Paywall,114,165,150,Paywall,Paywall,150,93,150,Paywall,76,150,70,71,Paywall,78,59
"Jones, Spencer",NYY,OF,682987,24.8,2022 #25,AAA,L/L,"6'7"" 240",98,121.00,Paywall,Paywall,150,60,Paywall,177,165,99,Paywall,Paywall,150,150,61,85,150,53,64,56,Paywall,168,150
"Garcia, Jhostynxon",PIT,OF,691373,23.2,2019 FA,MLB,R/R,"6'0"" 163",99,122.62,Paywall,Paywall,150,150,Paywall,140,165,85,Paywall,Paywall,80,150,99,68,150,69,92,150,Paywall,106,150
"Melton, Jacob",TB,OF,689200,25.5,2022 #64,MLB,L/L,"6'3"" 208",99,122.62,Paywall,Paywall,150,150,Paywall,81,165,150,Paywall,Paywall,150,150,150,89,86,150,81,79,Paywall,168,80
"Cijntje, Jurrangelo",STL,P,701388,22.7,2024 #15,AA,S/S,"5'11"" 200",101,125.10,Paywall,Paywall,52,150,Paywall,95,94,90,Paywall,Paywall,97,91,70,70,150,84,187,150,Paywall,168,150
"Lowder, Rhett",CIN,P,695076,24.0,2023 #7,MLB,R/R,"6'2"" 200",102,125.14,Paywall,Paywall,150,150,Paywall,72,102,80,Paywall,Paywall,89,86,45,Paywall,93,85,187,150,Paywall,168,150
"Henderson, Logan",MIL,P,701656,24.0,2021 #116,MLB,R/R,"6'0"" 209",103,129.57,Paywall,Paywall,150,88,Paywall,64,88,150,Paywall,Paywall,92,150,150,Paywall,150,73,187,90,Paywall,168,91
"Conrad, Ethan",CHC,OF,828255,21.6,2025 #17,,L/L,"6'3"" 220",104,131.62,Paywall,Paywall,73,83,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,58,150,Paywall,168,150
"Quero, Jeferson",MIL,C,691620,23.4,2019 FA,AAA,R/R,"5'11"" 203",105,132.14,Paywall,Paywall,150,150,Paywall,75,76,84,Paywall,Paywall,85,150,85,53,95,150,187,150,Paywall,74,150
"Celesten, Felnin",SEA,SS,806958,20.4,2023 FA,A,S/R,"6'1"" 175",106,132.67,Paywall,Paywall,150,150,Paywall,105,86,150,Paywall,Paywall,150,150,80,36,91,81,65,150,Paywall,77,150
"Gibson, Trey",BAL,P,694346,23.8,2023 FA,AAA,R/R,"6'5"" 240",107,133.24,Paywall,Paywall,150,150,Paywall,46,83,150,Paywall,Paywall,82,150,150,Paywall,150,150,187,97,Paywall,168,150
"Chourio, Kendry",KC,P,830402,18.4,2025 FA,A,R/R,"6'0"" 160",107,133.24,Paywall,Paywall,150,150,Paywall,124,165,150,Paywall,Paywall,96,150,150,Paywall,74,150,108,99,Paywall,61,150
"Carlson, Billy",CHW,SS,815814,19.6,2025 #10,,R/R,"6'1"" 185",109,138.43,Paywall,Paywall,93,150,Paywall,100,165,150,Paywall,Paywall,150,73,100,Paywall,75,150,187,150,Paywall,66,150
"Stephen, Khal",CLE,P,701590,23.2,2024 #59,AA,R/R,"6'4"" 215",110,139.10,Paywall,Paywall,150,150,Paywall,68,91,150,Paywall,Paywall,150,150,150,Paywall,89,150,187,150,Paywall,168,87
"Valdez, Esmerlyn",PIT,OF,699013,22.1,2021 FA,AA,R/R,"6'2"" 181",111,139.33,Paywall,Paywall,150,99,46,175,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,78,95,Paywall,168,150
"Tiedemann, Ricky",TOR,P,694357,23.5,2021 #91,AAA,L/L,"6'4"" 220",112,139.48,Paywall,Paywall,150,150,Paywall,151,165,150,Paywall,Paywall,150,150,150,94,150,150,121,150,Paywall,168,150
"Level, Jhonny",SF,SS,815929,18.9,2024 FA,A,S/R,"5'10"" 154",113,140.10,Paywall,Paywall,69,150,Paywall,84,77,150,Paywall,Paywall,150,150,150,81,150,150,89,150,Paywall,168,150
"Klassen, George",LAA,P,691946,24.1,2023 #193,AAA,R/R,"6'2"" 195",114,140.52,Paywall,Paywall,150,150,Paywall,147,57,150,Paywall,Paywall,66,150,150,Paywall,150,150,187,150,Paywall,168,67
"Davidson, Bo",SF,OF,815589,23.6,2023 FA,AA,L/R,"6'1"" 205",115,141.00,Paywall,Paywall,150,68,Paywall,186,165,150,Paywall,Paywall,91,150,150,Paywall,150,150,76,84,Paywall,168,150
"Barco, Hunter",PIT,P,682995,25.2,2022 #44,MLB,L/L,"6'4"" 235",116,141.67,Paywall,Paywall,150,150,Paywall,181,165,78,Paywall,Paywall,150,96,150,Paywall,150,150,125,150,Paywall,168,150
"Ryan, River",LAD,P,689981,27.5,2021 #340,MLB,R/R,"6'2"" 195",117,143.48,Paywall,Paywall,150,150,Paywall,125,107,150,Paywall,Paywall,63,150,98,87,150,150,187,150,Paywall,55,99
"Hernandez, Luis",SF,SS,836582,17.2,2026 FA,,R/R,"5'10"" 172",118,143.90,Paywall,Paywall,150,150,Paywall,142,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,80,150,Paywall,168,150
"Caldwell, Slade",ARI,OF,815154,19.7,2024 #29,A+,L/L,"5'9"" 182",119,144.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,78,63,150,150,120,150,Paywall,106,150
"Wood, Gage",PHI,P,805906,22.2,2025 #26,A,R/R,"6'0"" 205",120,145.52,Paywall,Paywall,77,150,Paywall,169,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Soto, Charlee",MIN,P,805792,20.5,2023 #34,A+,S/R,"6'3"" 210",121,146.86,Paywall,Paywall,150,150,Paywall,94,165,150,Paywall,Paywall,88,150,150,Paywall,150,150,187,150,Paywall,168,88
"Irish, Ike",BAL,C,702610,22.2,2025 #19,A,L/R,"6'2"" 201",122,147.05,Paywall,Paywall,150,150,Paywall,157,165,150,Paywall,Paywall,150,150,150,54,150,150,69,150,Paywall,85,150
