Rank	Name	Team	Age	Level	Position	WAR	FanGraphs Rank	ZiPS Rank
46	Walker Jenkins	MIN	21	AAA	CF	3	31	Unranked
47	Kaelen Culpepper	MIN	23	AA	SS	3	97	67
48	Nate George	BAL	20	A+	CF	3	Unranked	Unranked
49	Sam Antonacci	CHW	23	AA	2B	3	Unranked	Unranked
50	Owen Caissie	MIA	23	MLB	RF	3	62	49
51	Carson Williams	TBR	23	MLB	SS	2.9	28	10
52	Eduardo Tait	MIN	19	A+	C	2.9	46	30
53	Yeremy Cabrera	WSN	20	A	CF	2.9	Unranked	54
54	Kendall George	LAD	21	A+	CF	2.9	Unranked	Unranked
55	Edwin Arroyo	CIN	22	AA	SS	2.9	Unranked	Unranked
56	Adrian Santana	TBR	20	A+	SS	2.9	Unranked	Unranked
57	Roldy Brito	COL	19	A	CF	2.9	99	Unranked
58	Lazaro Montes	SEA	21	AA	RF	2.9	66	60
59	Eli Willits	WSN	18	A	SS	2.9	15	Unranked
60	Yordanny Monegro	BOS	23	AA	RHP	2.8	Unranked	Unranked
61	John Gil	ATL	20	AA	SS	2.8	Unranked	Unranked
62	Dax Kilby	NYY	19	A	SS	2.8	69	Unranked
63	Starlyn Caba	MIA	20	A	SS	2.8	Unranked	Unranked
64	Demetrio Crisantes	ARI	21	A+	2B	2.8	Unranked	Unranked
65	Gabriel Gonzalez	MIN	22	AAA	RF	2.8	Unranked	Unranked
66	Bryce Rainer	DET	20	A	SS	2.8	23	Unranked
67	Ty Johnson	TBR	24	AA	RHP	2.8	Unranked	Unranked
68	William Bergolla Jr.	CHW	21	AA	SS	2.7	Unranked	Unranked
69	George Lombard Jr.	NYY	21	AA	SS	2.7	49	21
70	Ethan Salas	SDP	20	AA	C	2.7	110	Unranked
71	Logan Henderson	MIL	24	MLB	RHP	2.7	88	Unranked
72	Juneiker Caceres	CLE	18	A	RF	2.7	Unranked	Unranked
73	Luis Perales	WSN	23	AAA	RHP	2.7	Unranked	Unranked
74	Samuel Zavala	CHW	21	A+	CF	2.7	Unranked	Unranked
75	Mitch Bratt	ARI	22	AA	LHP	2.7	Unranked	56
76	Chris Suero	NYM	22	AA	C	2.7	Unranked	Unranked
77	Trey Gibson	BAL	24	AAA	RHP	2.6	83	Unranked
78	Dylan Beavers	BAL	24	MLB	LF	2.6	39	Unranked
79	Ty Southisene	CHC	20	A	SS	2.6	Unranked	Unranked
80	Ben Hess	NYY	23	AA	RHP	2.6	Unranked	Unranked
81	Coleman Crow	MIL	25	AAA	RHP	2.6	Unranked	Unranked
82	Jefferson Rojas	CHC	21	AA	SS	2.6	55	Unranked
83	Hao-Yu Lee	DET	23	AAA	2B	2.6	Unranked	Unranked
84	Arjun Nimmala	TOR	20	A+	SS	2.6	48	37
85	Johnny King	TOR	19	A	LHP	2.6	Unranked	Unranked
86	Carlos Lagrange	NYY	23	AA	RHP	2.6	73	Unranked
87	Jacob Reimer	NYM	22	AA	3B	2.6	85	28
88	Angel Genao	CLE	22	AA	SS	2.6	42	Unranked
89	Jeferson Quero	MIL	23	AAA	C	2.6	76	89
90	Brandon Sproat	MIL	25	MLB	RHP	2.5	37	81
91	Brice Matthews	HOU	24	MLB	2B	2.5	Unranked	58
92	Didier Fuentes	ATL	21	MLB	RHP	2.5	90	47
93	Robert Gasser	MIL	27	MLB	LHP	2.5	Unranked	Unranked
94	Ryan Waldschmidt	ARI	23	AA	LF	2.5	35	Unranked
95	Pedro Ramirez	CHC	22	AA	3B	2.5	Unranked	Unranked
96	Devin Fitz-Gerald	WSN	20	A	3B	2.5	Unranked	Unranked
97	Joe Mack	MIA	23	AAA	C	2.5	56	Unranked
98	Alex Freeland	LAD	24	MLB	SS	2.5	Unranked	43
99	Kane Kepley	CHC	22	A	CF	2.5	Unranked	Unranked
100	Tre’ Morgan	TBR	23	AAA	1B	2.5	Unranked	Unranked
101	George Klassen	LAA	24	AAA	RHP	2.5	57	Unranked
102	Asbel Gonzalez	KCR	20	AA	CF	2.5	Unranked	Unranked
103	Josue De Paula	LAD	21	AA	RF	2.5	17	80
104	Henry Bolte	ATH	22	AAA	RF	2.4	Unranked	Unranked
105	Wyatt Sanford	PIT	20	A	SS	2.4	Unranked	Unranked
106	Kevin Alcántara	CHC	23	MLB	CF	2.4	60	Unranked
107	Gage Jump	ATH	23	AA	LHP	2.4	81	64
108	Hayden Alvarez	LAA	19	A	CF	2.4	Unranked	Unranked
109	Wilder Dalis	COL	19	A	3B	2.4	Unranked	Unranked
